Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  3  3  1  0.2466041990554320  0  
2  6  3  1  0.0986732784779701  0  
3  9  3  1  0.2382937875630144  0  
4  12  3  1  0.2751473024693687  0  
5  15  3  1  0.3425719539770485  0  
6  16  1  1  1.0000000000000000  0  
7  17  1  1  1.0000000000000000  0  
8  20  3  1  0.2825050723389099  0  
9  23  3  1  0.2298807260348621  0  
10  26  3  1  0.2335679146004672  0  
11  29  3  1  0.2790479812561867  0  
12  32  3  1  0.3479183368547898  0  
13  33  1  1  1.0000000000000000  0  
14  34  1  1  1.0000000000000000  0  
15  37  3  1  0.2850386586239346  0  
16  40  3  1  0.2364392963993277  0  
17  43  3  1  0.2361653322385449  0  
18  46  3  1  0.2852652746186414  0  
19  47  1  1  1.0000000000000000  0  
20  48  1  1  1.0000000000000000  0  
21  49  1  1  1.0000000000000000  0  
22  50  1  1  1.0000000000000000  0  
23  51  1  1  1.0000000000000000  0  
24  52  1  1  1.0000000000000000  0  
25  53  1  1  1.0000000000000000  0  
26  54  1  1  1.0000000000000000  0  
27  55  1  1  1.0000000000000000  0  
28  56  1  1  1.0000000000000000  0  
29  57  1  1  1.0000000000000000  0  
30  58  1  1  1.0000000000000000  0  
31  59  1  1  1.0000000000000000  0  
32  60  1  1  1.0000000000000000  0  
33  61  1  1  1.0000000000000000  0  
34  62  1  1  1.0000000000000000  0  
35  63  1  1  1.0000000000000000  0  
36  64  1  1  1.0000000000000000  0  
37  65  1  1  1.0000000000000000  0  
38  66  1  1  1.0000000000000000  0  
39  67  1  1  1.0000000000000000  0  
40  68  1  1  1.0000000000000000  0  
41  69  1  1  1.0000000000000000  0  
42  70  1  1  1.0000000000000000  0  
43  71  1  1  1.0000000000000000  0  
44  72  1  1  1.0000000000000000  0  
45  73  1  1  1.0000000000000000  0  
46  74  1  1  1.0000000000000000  0  
47  75  1  1  1.0000000000000000  0  
48  76  1  1  1.0000000000000000  0  
49  77  1  1  1.0000000000000000  0  
50  78  1  1  1.0000000000000000  0  
51  79  1  1  1.0000000000000000  0  
52  80  1  1  1.0000000000000000  0  
53  81  1  1  1.0000000000000000  0  
54  82  1  1  1.0000000000000000  0  
55  83  1  1  1.0000000000000000  0  
56  84  1  1  1.0000000000000000  0  
57  85  1  1  1.0000000000000000  0  
58  86  1  1  1.0000000000000000  0  
59  87  1  1  1.0000000000000000  0  
60  88  1  1  1.0000000000000000  0  
61  89  1  1  1.0000000000000000  0  
62  90  1  1  1.0000000000000000  0  
63  91  1  1  1.0000000000000000  0  
64  92  1  1  1.0000000000000000  0  
65  93  1  1  1.0000000000000000  0  
66  94  1  1  1.0000000000000000  0  
67  95  1  1  1.0000000000000000  0  
68  96  1  1  1.0000000000000000  0  
69  97  1  1  1.0000000000000000  0  
70  98  1  1  1.0000000000000000  0  
71  99  1  1  1.0000000000000000  0  
72  100  1  1  1.0000000000000000  0  
73  101  1  1  1.0000000000000000  0  
74  102  1  1  1.0000000000000000  0  
75  103  1  1  1.0000000000000000  0  
76  104  1  1  1.0000000000000000  0  
77  105  1  1  1.0000000000000000  0  
78  106  1  1  1.0000000000000000  0  
79  107  1  1  1.0000000000000000  0  
80  108  1  1  1.0000000000000000  0  
81  109  1  1  1.0000000000000000  0  
82  110  1  1  1.0000000000000000  0  
83  111  1  1  1.0000000000000000  0  
84  112  1  1  1.0000000000000000  0  
85  113  1  1  1.0000000000000000  0  
86  114  1  1  1.0000000000000000  0  
87  115  1  1  1.0000000000000000  0  
88  116  1  1  1.0000000000000000  0  
89  117  1  1  1.0000000000000000  0  
90  118  1  1  1.0000000000000000  0  
91  119  1  1  1.0000000000000000  0  
92  120  1  1  1.0000000000000000  0  
93  121  1  1  1.0000000000000000  0  
94  122  1  1  1.0000000000000000  0  
95  123  1  1  1.0000000000000000  0  
96  124  1  1  1.0000000000000000  0  
97  125  1  1  1.0000000000000000  0  
98  126  1  1  1.0000000000000000  0  
99  127  1  1  1.0000000000000000  0  
100  128  1  1  1.0000000000000000  0  
