Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  2  2  1  0.0030368140883521  0.9994952616107653  0  
2  5  3  1  0.0039311522882965  0.0032676160420134  0  
3  8  3  1  0.0008203415210545  0.0040045223833526  0  
4  11  3  1  0.0062170369199636  0.0023230070438728  0  
5  14  3  1  0.0001578673457132  0.0000000000000000  0  
6  17  3  1  0.0005024202605972  0.0018869286533566  0  
7  20  3  1  0.0003652249069229  0.0015117041291339  0  
8  23  3  1  0.0003573524539390  0.0013612093676241  0  
9  26  3  1  0.0003159513868167  0.0015469525604983  0  
10  29  3  1  0.0002939042822963  0.0015691439668038  0  
11  32  3  1  0.0003682610240785  0.0017901711482658  0  
12  35  3  1  0.0002890125732927  0.0016246042064600  0  
13  38  3  1  0.0003167543015591  0.0017750025976999  0  
14  41  3  1  0.0001003681867448  0.0015135786354942  0  
15  44  3  1  0.0002277296450024  0.0015550450415712  0  
16  47  3  1  0.0002919225282367  0.0020971898964418  0  
17  50  3  1  0.0001654722632744  0.0000000000000000  0  
18  53  3  1  0.0011501432265583  0.0046600582890986  0  
19  56  3  1  0.0011497386339142  0.0039602695413839  0  
20  58  2  1  0.0097771267786091  0.0008357003492815  0  
21  60  2  1  0.0086824320733371  0.0006126536830404  0  
22  62  2  1  0.0074759707267554  0.0006686510723595  0  
23  64  2  1  0.0060776545254068  0.0011809893170979  0  
24  66  2  1  0.0042846400543729  0.0019476718862654  0  
25  68  2  1  0.0000542006352540  0.0492517138947702  0  
26  70  2  1  0.0042963329558811  0.0952416949770490  0  
27  72  2  1  0.0060546484818318  0.0019240027035379  0  
28  74  2  1  0.0074319219653245  0.0009753131443549  0  
29  76  2  1  0.0086136710688998  0.0009090780693013  0  
30  78  2  1  0.0096796113856395  0.0006739575801035  0  
31  80  2  1  0.0106733300103410  0.0004247123015586  0  
32  82  2  1  0.0116226663843334  0.0005665907115625  0  
33  84  2  1  0.0125473294770220  0.0002679528620444  0  
34  86  2  1  0.0134635600917722  0.0003453201211344  0  
35  88  2  1  0.0143855121444407  0.0003285167584651  0  
36  90  2  1  0.0153269015869718  0.0003054271469499  0  
37  92  2  1  0.0163020139595346  0.0002057640336928  0  
38  94  2  1  0.0173270294672855  0.0003870152934927  0  
39  96  2  1  0.0184207329086184  0.0001630897178579  0  
40  98  2  1  0.0196070710587041  0.0002978705622483  0  
41  100  2  1  0.0209169501115660  0.0001956781504839  0  
42  102  2  1  0.0223928584032495  0.0002265257492589  0  
43  104  2  1  0.0240955270604799  0.0002587162982051  0  
44  106  2  1  0.0261163433611727  0.0001763020301308  0  
45  108  2  1  0.0286024984915104  0.0003305914526394  0  
46  110  2  1  0.0318090221016541  0.0001414990912106  0  
47  112  2  1  0.0362323202668845  0.0002271577267804  0  
48  114  2  1  0.0430118676774923  0.0002071398984789  0  
49  116  2  1  0.0556571912088079  0.0001484362060417  0  
50  118  2  1  0.0967567471672084  0.0001519006645794  0  
51  120  2  1  0.0956989192889127  0.0002630913255112  0  
52  122  2  1  0.0553078076648680  0.0002210345860735  0  
53  124  2  1  0.0427131962988594  0.0001325620172079  0  
54  126  2  1  0.0359279016283298  0.0001862264922358  0  
55  128  2  1  0.0314857254824464  0.0003035414147159  0  
56  130  2  1  0.0282557446970831  0.0001851550923979  0  
57  132  2  1  0.0257447260213883  0.0002519146785878  0  
58  134  2  1  0.0236978788167000  0.0001920821363062  0  
59  136  2  1  0.0219685995368736  0.0002375858829171  0  
60  138  2  1  0.0204651899237984  0.0001870452254522  0  
61  140  2  1  0.0191267655908308  0.0002011589534512  0  
62  142  2  1  0.0179106061432052  0.0002443832886249  0  
63  144  2  1  0.0167852062776412  0.0002590534256708  0  
64  146  2  1  0.0157263107778985  0.0003027802511561  0  
65  148  2  1  0.0147141242575710  0.0002423613245010  0  
66  150  2  1  0.0137317389330928  0.0003381088759665  0  
67  152  2  1  0.0127634048131906  0.0002498117737400  0  
68  154  2  1  0.0117936697179286  0.0004985930316669  0  
69  156  2  1  0.0108052535130984  0.0004537831623241  0  
70  158  2  1  0.0097774081290467  0.0003719457351345  0  
71  160  2  1  0.0086821466144659  0.0006031713442324  0  
72  162  2  1  0.0074757557893507  0.0007965701983193  0  
73  164  2  1  0.0060772920547582  0.0010665769853094  0  
74  166  2  1  0.0042841374652042  0.0019319628982895  0  
75  168  2  1  0.0000762385756935  0.0498024607591346  0  
