Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  27  27  1  0.5803442725887095  0.4858746662095247  0  
2  46  19  1  0.5394617194253384  0.3607751093673164  0  
3  70  24  1  0.5650400641836213  0.4798245852971588  0  
4  91  21  1  0.5568858300527648  0.4487338395226169  0  
5  113  22  1  0.5490603582580099  0.4749082425614141  0  
6  134  21  1  0.5689887573052506  0.4324459190146237  0  
7  156  22  1  0.5371936402011123  0.4402306058755134  0  
8  177  21  1  0.5632758585113971  0.4259795956476071  0  
9  199  22  1  0.5500158647566417  0.4477334791655893  0  
10  220  21  1  0.5552770439744810  0.4544070543420972  0  
11  240  20  1  0.5496710562577775  0.4154046611227711  0  
12  259  19  1  0.5059719484704955  0.4506866602086507  0  
13  279  20  1  0.5582874085493867  0.4586839578212198  0  
14  297  18  1  0.5195612443582152  0.4071602561384738  0  
15  317  20  1  0.5267073524581745  0.4744964228389718  0  
16  336  19  1  0.5411172645623946  0.4079190474650813  0  
17  355  19  1  0.5295395016312516  0.4627922613645168  0  
18  374  19  1  0.5345362354392060  0.4513457386551664  0  
19  396  22  1  0.5601425654069034  0.4895068704954025  0  
20  414  18  1  0.5260224856064558  0.4757388341545308  0  
21  433  19  1  0.5462338799218432  0.5114250339808124  0  
22  454  21  1  0.5444303639462292  0.4566726389759751  0  
23  471  17  1  0.4694133589923213  0.4461944451681770  0  
24  493  22  1  0.5645215563045290  0.5111915028375651  0  
25  513  20  1  0.5417842764965496  0.4638120100227178  0  
26  536  23  1  0.5872844122874217  0.5207736995493656  0  
27  555  19  1  0.5236809215803943  0.4758947431371943  0  
28  575  20  1  0.5544886389324277  0.5278349355120020  0  
29  596  21  1  0.5584624883716338  0.4975377611346314  0  
30  614  18  1  0.5085765132797069  0.4583315208611443  0  
31  634  20  1  0.5106209633261771  0.5104114058953516  0  
32  654  20  1  0.5071857953373893  0.5205358895536190  0  
33  672  18  1  0.4948524014733114  0.4584863685262198  0  
34  693  21  1  0.5684462617665779  0.5249529122732521  0  
35  716  23  1  0.5912175893027664  0.5552322918134662  0  
36  739  23  1  0.5833810283557418  0.5380310468342868  0  
37  761  22  1  0.5976621309721699  0.5493323554081975  0  
38  786  25  1  0.6386197037123423  0.6693147789028331  0  
39  886  100  0  0.9043319652620981  0.9538143398275876  63  
40  935  49  1  0.7738097793147248  0.7459370651862125  1  
41  970  35  1  0.6767278367175769  0.7171392871094601  0  
42  1003  33  1  0.6770723384804027  0.6908476162325056  0  
43  1103  100  0  -nan  -nan  0  
44  1203  100  0  -nan  -nan  0  
45  1303  100  0  -nan  -nan  0  
46  1403  100  0  -nan  -nan  0  
47  1503  100  0  -nan  -nan  0  
48  1603  100  0  -nan  -nan  0  
49  1703  100  0  -nan  -nan  0  
50  1803  100  0  -nan  -nan  0  
51  1903  100  0  -nan  -nan  0  
52  2003  100  0  -nan  -nan  0  
53  2103  100  0  -nan  -nan  0  
54  2203  100  0  -nan  -nan  0  
55  2303  100  0  -nan  -nan  0  
56  2403  100  0  -nan  -nan  0  
57  2503  100  0  -nan  -nan  0  
58  2603  100  0  -nan  -nan  0  
59  2703  100  0  -nan  -nan  0  
60  2803  100  0  -nan  -nan  0  
61  2903  100  0  -nan  -nan  0  
62  3003  100  0  -nan  -nan  0  
63  3103  100  0  -nan  -nan  0  
64  3203  100  0  -nan  -nan  0  
65  3303  100  0  -nan  -nan  0  
66  3403  100  0  -nan  -nan  0  
67  3503  100  0  -nan  -nan  0  
68  3603  100  0  -nan  -nan  0  
69  3703  100  0  -nan  -nan  0  
70  3803  100  0  -nan  -nan  0  
71  3903  100  0  -nan  -nan  0  
72  4003  100  0  -nan  -nan  0  
73  4103  100  0  -nan  -nan  0  
74  4203  100  0  -nan  -nan  0  
