Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  10  10  1  0.2731794750451381  0.1580477492080236  0  
2  15  5  1  0.0613510410558711  0.0250983428070905  0  
3  24  9  1  0.2161959207014191  0.0988469167316051  0  
4  30  6  1  0.0965236822521261  0.0536446473435343  0  
5  38  8  1  0.1726073919417232  0.1044755806172364  0  
6  44  6  1  0.1256428880552306  0.0820146166528851  0  
7  51  7  1  0.1883819209917194  0.1214952431264866  0  
8  57  6  1  0.1124559227484065  0.0904902258053304  0  
9  64  7  1  0.1795675601918329  0.1399457025790639  0  
10  70  6  1  0.1272783640873662  0.1037638288443566  0  
11  77  7  1  0.1684986620362854  0.1467925718844769  0  
12  84  7  1  0.1668213051320990  0.2034523128603566  0  
13  92  8  1  0.2622464087515179  0.1543041222745659  0  
14  98  6  1  0.1632428259252955  0.0801145879064664  0  
15  102  4  1  0.0728970036054548  0.0669779549505381  0  
16  108  6  1  0.1410635842644160  0.0963740605085291  0  
17  115  7  1  0.1335960986873716  0.1258129546152659  0  
18  121  6  1  0.1126205367532735  0.1025354120534430  0  
19  128  7  1  0.1648113059545591  0.1147438011669680  0  
20  134  6  1  0.1568408259258738  0.1246632246562791  0  
21  141  7  1  0.2658667475876281  0.1920860992438646  0  
22  147  6  1  0.1905274799244981  0.1091761935705912  0  
23  154  7  1  0.2114810247186700  0.1448914877754170  0  
24  160  6  1  0.1634096603177571  0.1032975475323663  0  
25  166  6  1  0.1501821381754565  0.1259651516539995  0  
26  173  7  1  0.1531874581497963  0.1040433081771234  0  
27  179  6  1  0.1614890847150485  0.0953234224989212  0  
28  186  7  1  0.1497437707856205  0.0995581797898029  0  
29  190  4  1  0.0731095812951545  0.0611672373762197  0  
30  197  7  1  0.2370846060783851  0.1857995963508811  0  
31  203  6  1  0.2004733495460518  0.1511943901988921  0  
32  209  6  1  0.1890496034697728  0.1299831360450709  0  
33  215  6  1  0.1034635356955206  0.1030518102097688  0  
