Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  deleted_Columns  
1  9  9  1  0.6119301499565656  0  
2  19  10  1  0.5757298164553318  0  
3  30  11  1  0.5654493520837223  0  
4  43  13  1  0.5936427908654680  0  
5  59  16  1  0.6348780671588857  0  
6  77  18  1  0.6322412822917806  0  
7  95  18  1  0.6398170680570566  0  
8  113  18  1  0.6108174160588473  0  
9  130  17  1  0.6055127920180055  0  
10  148  18  1  0.5484453840255444  0  
11  166  18  1  0.5907373019707648  0  
12  184  18  1  0.6079458580475805  0  
13  202  18  1  0.5990333353833979  0  
14  220  18  1  0.5984896402612001  0  
15  240  20  1  0.5965257486841481  0  
16  260  20  1  0.5945013299748145  0  
17  280  20  1  0.6140105102468849  0  
18  300  20  1  0.5636986438176878  0  
19  320  20  1  0.5865062398140806  0  
20  340  20  1  0.5835241957677300  0  
21  360  20  1  0.5579461897675164  0  
22  380  20  1  0.5659378010004481  0  
23  403  23  1  0.6395765117062899  0  
24  427  24  1  0.6449759827135633  0  
25  452  25  1  0.6548568909485544  0  
26  478  26  1  0.5830903080822915  0  
27  504  26  1  0.6712931854413284  0  
28  530  26  1  0.6601345183198913  0  
29  558  28  1  0.6862966387124676  0  
30  589  31  1  0.7131106911218689  0  
31  625  36  1  0.7305202860272229  0  
32  725  100  0  0.9209650352682160  71  
