Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  2  2  1  0.0030368140883521  0.9994952616107653  0  
2  5  3  1  0.0039392333268196  0.0025400915613482  0  
3  8  3  1  0.0026388687385972  0.0010302887426279  0  
4  11  3  1  0.0033892429368462  0.0015168897056051  0  
5  14  3  1  0.0005335122654921  0.0017000555163088  0  
6  17  3  1  0.0086459029734040  0.0015371059323825  0  
7  20  3  1  0.0004657201017901  0.0012024416114105  0  
8  23  3  1  0.0050737307023043  0.0020425225524601  0  
9  26  3  1  0.0014152771904740  0.0011284003639378  0  
10  29  3  1  0.0035614562958852  0.0009755208373975  0  
11  32  3  1  0.0004560345304280  0.0010257448518880  0  
12  35  3  1  0.0041274645201198  0.0015811952385790  0  
13  38  3  1  0.0012681276422163  0.0010202311174892  0  
14  41  3  1  0.0053390442565644  0.0009479450503492  0  
15  44  3  1  0.0012195176587116  0.0009788494864502  0  
16  47  3  1  0.0045693414819815  0.0011076829650178  0  
17  50  3  1  0.0011793620751217  0.0009382379995594  0  
18  53  3  1  0.0043202983811317  0.0008315084907672  0  
19  56  3  1  0.0003128217877807  0.0009108666810669  0  
20  59  3  1  0.0028818952070972  0.0007700876969991  0  
21  62  3  1  0.0011421143369964  0.0009327563434612  0  
22  65  3  1  0.0040784602951980  0.0012112272853407  0  
23  68  3  1  0.0001186988347338  0.0008917819884684  0  
24  71  3  1  0.0027048793865283  0.0009424870441866  0  
25  74  3  1  0.0030427256838703  0.0006836710963988  0  
26  77  3  1  0.0001479845616990  0.0004115991038391  0  
27  80  3  1  0.0026384027862392  0.0006472307663093  0  
28  83  3  1  0.0002122240338320  0.0004638334916630  0  
29  86  3  1  0.0025130565706918  0.0006187120617675  0  
30  89  3  1  0.0001771434903703  0.0004681962516730  0  
31  92  3  1  0.0028199739569955  0.0008463604193332  0  
32  95  3  1  0.0001803587712917  0.0009076898432629  0  
33  98  3  1  0.0030522471286188  0.0006277025236645  0  
34  101  3  1  0.0011794301561420  0.0011747445924899  0  
35  104  3  1  0.0011900089805912  0.0009444748441838  0  
36  107  3  1  0.0049472553786399  0.0009439986747096  0  
37  110  3  1  0.0012282393475062  0.0009757124919471  0  
38  113  3  1  0.0052564187653975  0.0010185435519203  0  
39  116  3  1  0.0002084042438332  0.0010158336143416  0  
40  119  3  1  0.0039076718160132  0.0008441245599539  0  
41  122  3  1  0.0013693891894248  0.0011192785048989  0  
42  125  3  1  0.0054317760716559  0.0013899072571335  0  
43  128  3  1  0.0003698332943369  0.0011718289373616  0  
44  131  3  1  0.0027704747388689  0.0012361108361760  0  
45  134  3  1  0.0016023887787101  0.0012693903420153  0  
46  137  3  1  0.0042273425227412  0.0013277940073549  0  
47  140  3  1  0.0002390082185126  0.0014745962270109  0  
48  143  3  1  0.0065955524613776  0.0018102659886026  0  
49  146  3  1  0.0080488890149324  0.0054072276631244  0  
50  148  2  1  0.0957200977736092  0.0040701108534249  0  
51  150  2  1  0.0955609358507156  0.0054331849183399  0  
52  153  3  1  0.0044811883180467  0.0019448236779529  0  
53  156  3  1  0.0078665253837851  0.0014717761408994  0  
54  159  3  1  0.0018441215724344  0.0008617272912361  0  
55  162  3  1  0.0071379352348822  0.0014162121578232  0  
56  165  3  1  0.0016168434124680  0.0012984395416255  0  
57  168  3  1  0.0063434803665116  0.0033170739934305  0  
58  171  3  1  0.0004707736077696  0.0011419978267035  0  
59  174  3  1  0.0054962659441571  0.0024764375788512  0  
60  177  3  1  0.0002434946761636  0.0010762766457162  0  
61  180  3  1  0.0044733145571189  0.0009789239534082  0  
62  183  3  1  0.0012896804112484  0.0019484601739942  0  
63  186  3  1  0.0002217029723860  0.0009953005920908  0  
64  189  3  1  0.0039946162301892  0.0009460521507941  0  
65  192  3  1  0.0012178954319600  0.0012153511307323  0  
66  195  3  1  0.0047997273847294  0.0008858027690470  0  
67  198  3  1  0.0011741940619890  0.0011763505223633  0  
68  201  3  1  0.0042900734127849  0.0010402281797429  0  
69  204  3  1  0.0030213531784648  0.0009815298237921  0  
70  207  3  1  0.0011432804836534  0.0011442726336429  0  
71  210  3  1  0.0041274775966208  0.0008276327471924  0  
72  213  3  1  0.0001314592978703  0.0000000000000000  0  
73  216  3  1  0.0021529671100258  0.0011092176683461  0  
74  219  3  1  0.0038693882074775  0.0014834143124079  0  
75  222  3  1  0.0001395683343104  0.0004116018123773  0  
76  225  3  1  0.0020367888081226  0.0011120715861626  0  
77  228  3  1  0.0001341608414742  0.0000000000000000  0  
78  231  3  1  0.0021535539399421  0.0008763904263930  0  
