Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  9  9  28  28  1  0.2849019135796611  0.3968195416032698  1  
2  18  9  56  28  1  0.2229831959910613  0.3737289642642397  1  
3  27  9  80  24  1  0.2441315690084755  0.3931312558979428  1  
4  34  7  99  19  1  0.2611443492018489  0.4540430739039814  0  
5  41  7  118  19  1  0.2806626303650979  0.4764702012865267  0  
6  48  7  138  20  1  0.1967440268020693  0.3886479669667997  0  
7  55  7  158  20  1  0.1846078408972514  0.4117322591270098  0  
8  62  7  176  18  1  0.2492302378220433  0.4197465886526459  0  
9  69  7  195  19  1  0.2675916969960053  0.4609067978626659  0  
10  76  7  212  17  1  0.3622839222726746  0.6590252552749817  0  
11  83  7  229  17  1  0.3067671469413066  0.5112281523632775  0  
12  90  7  245  16  1  0.3113094417099476  0.5228530343974542  0  
13  97  7  262  17  1  0.3307198039137627  0.5529960628462881  0  
14  102  5  276  14  1  0.2702374063158822  0.6473856476195806  0  
15  109  7  293  17  1  0.2382496087178826  0.4509350776194881  0  
16  116  7  311  18  1  0.2470759098151801  0.4218086311230729  0  
17  123  7  328  17  1  0.2382732764709091  0.4239644217507174  0  
18  130  7  345  17  1  0.3718415516463847  0.6533386152960200  0  
19  135  5  358  13  1  0.2443838959043356  0.5500296741497144  0  
20  142  7  374  16  1  0.3337580364841805  0.5544855812195485  0  
21  149  7  390  16  1  0.3438241842392070  0.5716587492858555  0  
22  154  5  402  12  1  0.3311990799565069  0.6345078073583856  0  
23  161  7  418  16  1  0.3989012278853420  0.6486956730658643  0  
24  168  7  433  15  1  0.3125419481692443  0.5471622942396049  0  
25  175  7  448  15  1  0.3219888370808399  0.5681239918427893  0  
26  182  7  463  15  1  0.4019310392668942  0.6932704285297518  0  
27  187  5  474  11  1  0.2234027980284794  0.5315111990533555  0  
28  192  5  486  12  1  0.3307161898722172  0.6506177129308659  0  
29  197  5  498  12  1  0.3414793712162183  0.6750387420062489  0  
30  202  5  509  11  1  0.3284699121177660  0.6331231603757911  0  
31  207  5  521  12  1  0.3666531108527914  0.6088705718155464  0  
32  210  3  528  7  1  0.2498728607238304  0.9991659918552110  0  
33  213  3  534  6  1  0.2106635679954443  0.9991166393891066  0  
34  218  5  546  12  1  0.3180551655938618  0.6264737538993845  0  
35  223  5  558  12  1  0.3300257479783803  0.6533421147284308  0  
36  230  7  573  15  1  0.3348962202674205  0.5585406285620441  0  
37  235  5  585  12  1  0.3568694578951984  0.7198028589694282  0  
38  240  5  597  12  1  0.3500879762950336  0.6879265140736771  0  
39  243  3  602  5  1  0.3103687018861424  0.9974647973305467  0  
40  248  5  613  11  1  0.3123859846933728  0.5949025336488918  0  
41  253  5  624  11  1  0.3179902809487237  0.6337783117040778  0  
42  258  5  635  11  1  0.3470671790105667  0.7024659921999691  0  
43  265  7  649  14  1  0.3078751591027779  0.5170824590226164  0  
44  272  7  664  15  1  0.3048474672740159  0.5117409125424740  0  
45  277  5  676  12  1  0.3620964391324601  0.7427103346940283  0  
46  282  5  688  12  1  0.3560996224127901  0.7224464420632702  0  
47  287  5  700  12  1  0.3425456110064538  0.6877464995294238  0  
48  292  5  711  11  1  0.3488429018971280  0.7095753933265299  0  
49  297  5  722  11  1  0.3576556649036485  0.7330085285350731  0  
50  304  7  736  14  1  0.2441402769289348  0.4306668904459408  0  
51  311  7  751  15  1  0.2013317346776080  0.3882848467646362  0  
52  318  7  766  15  1  0.2118800800738600  0.3794757699549564  0  
53  325  7  781  15  1  0.2455711316628407  0.4166871519077907  0  
54  330  5  793  12  1  0.3721992651546269  0.7690675576768994  0  
55  335  5  804  11  1  0.3748235841066911  0.7708164348612755  0  
56  340  5  815  11  1  0.3764310796922215  0.7715851661175619  0  
57  345  5  826  11  1  0.3777615017759983  0.7745951130762680  0  
58  352  7  840  14  1  0.2701275524014302  0.4529577625255931  0  
59  359  7  855  15  1  0.2605940165629523  0.4393275221818914  0  
60  366  7  870  15  1  0.2566152772755737  0.4370454276079659  0  
61  373  7  885  15  1  0.2360040817932600  0.4352853264062741  0  
62  380  7  900  15  1  0.2054787887900362  0.4547276498220500  0  
63  387  7  915  15  1  0.2537633268752754  0.4781302319214654  0  
64  394  7  930  15  1  0.2721075682290676  0.4956254551535610  0  
65  401  7  945  15  1  0.2892664647136109  0.5177612196588018  0  
66  408  7  960  15  1  0.3146770038802065  0.5539358831048931  0  
67  415  7  976  16  1  0.3472328158306766  0.6010825238148481  0  
68  422  7  992  16  1  0.3736164180466134  0.6386617006221416  0  
69  429  7  1008  16  1  0.3869756066277993  0.6539691749891102  0  
70  436  7  1024  16  1  0.3855476731102490  0.6494702391007547  0  
71  443  7  1040  16  1  0.3770757143378215  0.6376640669614683  0  
72  450  7  1056  16  1  0.3729582452600759  0.6331991092610517  0  
73  457  7  1072  16  1  0.3812652299305045  0.6464527804536444  0  
74  464  7  1087  15  1  0.4010583901558848  0.6731390573071280  0  
75  471  7  1103  16  1  0.4196556080890822  0.6889783495276588  0  
76  474  3  1110  7  1  0.1508548564348625  0.9994671585711549  0  
77  481  7  1126  16  1  0.4103318815784474  0.6614572599775044  0  
78  488  7  1142  16  1  0.3767380739554669  0.5925071931489944  0  
79  493  5  1154  12  1  0.3441364346748408  0.5884411570083509  0  
80  500  7  1171  17  1  0.4052713577918856  0.5899007575786827  0  
81  507  7  1188  17  1  0.4441339838695788  0.6520326802823472  0  
82  514  7  1205  17  1  0.4317148051417825  0.6763509167275427  0  
83  521  7  1223  18  1  0.4151585779633669  0.6677707266031417  0  
84  528  7  1239  16  1  0.3478772120563565  0.5692659110778165  0  
85  535  7  1257  18  1  0.3204615656397830  0.5213965935716672  0  
86  542  7  1276  19  1  0.3431964833689898  0.5659871039152183  0  
87  551  9  1299  23  1  0.2441089806777424  0.3788243110168036  1  
88  558  7  1318  19  1  0.3605842554296252  0.5916010692199836  0  
89  565  7  1337  19  1  0.3475487774624987  0.5591605159693779  0  
90  570  5  1351  14  1  0.2590809668533211  0.4941498369813257  0  
91  577  7  1370  19  1  0.2942524522083256  0.4795803521619271  0  
92  584  7  1389  19  1  0.3293332824835339  0.5457631398535985  0  
93  591  7  1409  20  1  0.3217694044082152  0.5392195491683638  0  
94  598  7  1429  20  1  0.3129691430126829  0.5268304123710017  0  
95  605  7  1448  19  1  0.3086856867444394  0.5199441368126061  0  
96  612  7  1466  18  1  0.3093176661875510  0.5204180921495334  0  
97  619  7  1484  18  1  0.3116903611498709  0.5240401465630636  0  
98  626  7  1503  19  1  0.3060900195826385  0.5156555565544731  0  
99  633  7  1523  20  1  0.2870483242466996  0.4878100155650357  0  
100  640  7  1544  21  1  0.2616996131842165  0.4543878670551174  0  
