Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  4  4  1  1.0000000000000000  0  
2  2  1  9  5  1  1.0000000000000000  0  
3  3  1  13  4  1  1.0000000000000000  0  
4  4  1  17  4  1  1.0000000000000000  0  
5  5  1  21  4  1  1.0000000000000000  0  
6  6  1  25  4  1  1.0000000000000000  0  
7  7  1  29  4  1  1.0000000000000000  0  
8  8  1  34  5  1  1.0000000000000000  0  
9  9  1  39  5  1  1.0000000000000000  0  
10  12  3  47  8  1  0.6587674742999768  0  
11  13  1  51  4  1  1.0000000000000000  0  
12  14  1  55  4  1  1.0000000000000000  0  
13  17  3  62  7  1  0.6458487474539920  0  
14  18  1  66  4  1  1.0000000000000000  0  
15  19  1  71  5  1  1.0000000000000000  0  
16  20  1  75  4  1  1.0000000000000000  0  
17  21  1  79  4  1  1.0000000000000000  0  
18  22  1  83  4  1  1.0000000000000000  0  
19  25  3  89  6  1  0.5298588515335430  0  
20  26  1  93  4  1  1.0000000000000000  0  
21  27  1  97  4  1  1.0000000000000000  0  
22  28  1  102  5  1  1.0000000000000000  0  
23  29  1  107  5  1  1.0000000000000000  0  
24  30  1  111  4  1  1.0000000000000000  0  
25  31  1  116  5  1  1.0000000000000000  0  
26  32  1  121  5  1  1.0000000000000000  0  
27  33  1  125  4  1  1.0000000000000000  0  
28  34  1  129  4  1  1.0000000000000000  0  
29  37  3  136  7  1  0.6045899174304473  0  
30  38  1  140  4  1  1.0000000000000000  0  
31  39  1  145  5  1  1.0000000000000000  0  
32  40  1  149  4  1  1.0000000000000000  0  
33  41  1  154  5  1  1.0000000000000000  0  
34  44  3  161  7  1  0.5424721728931825  0  
35  47  3  166  5  1  0.5579736553278114  0  
36  50  3  174  8  1  0.6211944648410390  0  
37  51  1  179  5  1  1.0000000000000000  0  
38  52  1  184  5  1  1.0000000000000000  0  
39  55  3  192  8  1  0.6532366716191809  0  
40  56  1  197  5  1  1.0000000000000000  0  
41  57  1  201  4  1  1.0000000000000000  0  
42  58  1  206  5  1  1.0000000000000000  0  
43  61  3  213  7  1  0.6053565866032691  0  
44  64  3  220  7  1  0.6474370312238181  0  
45  67  3  227  7  1  0.6485342033035909  0  
46  68  1  231  4  1  1.0000000000000000  0  
47  71  3  239  8  1  0.5935883094524398  0  
48  74  3  247  8  1  0.6314709409068796  0  
49  77  3  255  8  1  0.6588813724488025  0  
50  78  1  260  5  1  1.0000000000000000  0  
51  81  3  268  8  1  0.6097569274168209  0  
52  86  5  278  10  1  0.3875377895926125  0  
53  91  5  288  10  1  0.4228787728967874  0  
54  94  3  295  7  1  0.6846105294568511  0  
55  97  3  303  8  1  0.5105402909735119  0  
56  102  5  313  10  1  0.4676185587407259  0  
57  107  5  322  9  1  0.4207691588075870  0  
58  112  5  332  10  1  0.4389235756368747  0  
59  113  1  337  5  1  1.0000000000000000  0  
60  118  5  348  11  1  0.3747411239546589  0  
61  123  5  359  11  1  0.3635442649919525  0  
62  128  5  369  10  1  0.4205113935298906  0  
63  133  5  379  10  1  0.4489319046859617  0  
64  136  3  388  9  1  0.5423365728868873  0  
65  141  5  399  11  1  0.3686205888707490  0  
66  146  5  409  10  1  0.4185992293862378  0  
67  151  5  419  10  1  0.4495688971984680  0  
68  154  3  429  10  1  0.5325665683534505  0  
69  159  5  441  12  1  0.3565444783873389  0  
70  164  5  452  11  1  0.3785642280979442  0  
71  169  5  463  11  1  0.4137550311948633  0  
72  172  3  472  9  1  0.7298382143932634  0  
73  177  5  483  11  1  0.4234689629798987  0  
74  182  5  494  11  1  0.3771038810579130  0  
75  187  5  504  10  1  0.4180311692822073  0  
76  192  5  514  10  1  0.4471216107029771  0  
77  195  3  524  10  1  0.5814381587516103  0  
78  200  5  536  12  1  0.3517641642420378  0  
79  205  5  546  10  1  0.4059464536906738  0  
80  210  5  557  11  1  0.4222802544747630  0  
81  213  3  566  9  1  0.7316243640236925  0  
82  218  5  576  10  1  0.4034776625093701  0  
83  223  5  587  11  1  0.3805796492705779  0  
84  228  5  597  10  1  0.4195748704810084  0  
85  233  5  607  10  1  0.4551221442289599  0  
86  236  3  617  10  1  0.5911546477331465  0  
87  241  5  629  12  1  0.3603403864251750  0  
88  246  5  639  10  1  0.4059730866077865  0  
89  251  5  649  10  1  0.4353216470841133  0  
90  254  3  658  9  1  0.6085735214734803  0  
91  259  5  670  12  1  0.3788054342364515  0  
92  264  5  681  11  1  0.3829052217608414  0  
93  269  5  691  10  1  0.4209941458708323  0  
94  272  3  700  9  1  0.6981050142454538  0  
95  277  5  712  12  1  0.3948412478757629  0  
96  282  5  724  12  1  0.3682320454610611  0  
97  287  5  734  10  1  0.4084125389887340  0  
98  292  5  744  10  1  0.4293410950989066  0  
99  295  3  753  9  1  0.5410211617164102  0  
100  300  5  765  12  1  0.3557596559202174  0  
