Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  1  1  2  2  1  1.0000000000000000  1.0000000000000000  0  
2  4  3  5  3  1  0.0694970440953143  1.0093417593196963  0  
3  7  3  9  4  1  0.2301637560754193  0.7094996192239783  0  
4  8  1  12  3  1  1.0000000000000000  1.0000000000000000  0  
5  9  1  15  3  1  1.0000000000000000  1.0000000000000000  0  
6  10  1  18  3  1  1.0000000000000000  1.0000000000000000  0  
7  11  1  21  3  1  1.0000000000000000  1.0000000000000000  0  
8  12  1  24  3  1  1.0000000000000000  1.0000000000000000  0  
9  13  1  27  3  1  1.0000000000000000  1.0000000000000000  0  
10  14  1  30  3  1  1.0000000000000000  1.0000000000000000  0  
11  15  1  33  3  1  1.0000000000000000  1.0000000000000000  0  
12  16  1  36  3  1  1.0000000000000000  1.0000000000000000  0  
13  17  1  39  3  1  1.0000000000000000  1.0000000000000000  0  
14  18  1  42  3  1  1.0000000000000000  1.0000000000000000  0  
15  19  1  45  3  1  1.0000000000000000  1.0000000000000000  0  
16  20  1  48  3  1  1.0000000000000000  1.0000000000000000  0  
17  21  1  51  3  1  1.0000000000000000  1.0000000000000000  0  
18  22  1  54  3  1  1.0000000000000000  1.0000000000000000  0  
19  23  1  57  3  1  1.0000000000000000  1.0000000000000000  0  
20  24  1  60  3  1  1.0000000000000000  1.0000000000000000  0  
21  25  1  63  3  1  1.0000000000000000  1.0000000000000000  0  
22  26  1  66  3  1  1.0000000000000000  1.0000000000000000  0  
23  27  1  69  3  1  1.0000000000000000  1.0000000000000000  0  
24  28  1  72  3  1  1.0000000000000000  1.0000000000000000  0  
25  29  1  75  3  1  1.0000000000000000  1.0000000000000000  0  
26  30  1  78  3  1  1.0000000000000000  1.0000000000000000  0  
27  31  1  81  3  1  1.0000000000000000  1.0000000000000000  0  
28  32  1  84  3  1  1.0000000000000000  1.0000000000000000  0  
29  33  1  87  3  1  1.0000000000000000  1.0000000000000000  0  
30  34  1  90  3  1  1.0000000000000000  1.0000000000000000  0  
31  35  1  93  3  1  1.0000000000000000  1.0000000000000000  0  
32  36  1  96  3  1  1.0000000000000000  1.0000000000000000  0  
33  37  1  99  3  1  1.0000000000000000  1.0000000000000000  0  
34  38  1  102  3  1  1.0000000000000000  1.0000000000000000  0  
35  39  1  105  3  1  1.0000000000000000  1.0000000000000000  0  
36  40  1  108  3  1  1.0000000000000000  1.0000000000000000  0  
37  41  1  111  3  1  1.0000000000000000  1.0000000000000000  0  
38  42  1  114  3  1  1.0000000000000000  1.0000000000000000  0  
39  43  1  117  3  1  1.0000000000000000  1.0000000000000000  0  
40  44  1  120  3  1  1.0000000000000000  1.0000000000000000  0  
41  45  1  123  3  1  1.0000000000000000  1.0000000000000000  0  
42  46  1  126  3  1  1.0000000000000000  1.0000000000000000  0  
43  47  1  129  3  1  1.0000000000000000  1.0000000000000000  0  
44  48  1  132  3  1  1.0000000000000000  1.0000000000000000  0  
45  49  1  135  3  1  1.0000000000000000  1.0000000000000000  0  
46  50  1  138  3  1  1.0000000000000000  1.0000000000000000  0  
47  51  1  141  3  1  1.0000000000000000  1.0000000000000000  0  
48  52  1  144  3  1  1.0000000000000000  1.0000000000000000  0  
49  53  1  147  3  1  1.0000000000000000  1.0000000000000000  0  
50  54  1  149  2  1  1.0000000000000000  1.0000000000000000  0  
51  55  1  151  2  1  1.0000000000000000  1.0000000000000000  0  
52  56  1  154  3  1  1.0000000000000000  1.0000000000000000  0  
53  57  1  157  3  1  1.0000000000000000  1.0000000000000000  0  
54  58  1  160  3  1  1.0000000000000000  1.0000000000000000  0  
55  59  1  163  3  1  1.0000000000000000  1.0000000000000000  0  
56  60  1  166  3  1  1.0000000000000000  1.0000000000000000  0  
57  61  1  169  3  1  1.0000000000000000  1.0000000000000000  0  
58  62  1  172  3  1  1.0000000000000000  1.0000000000000000  0  
59  63  1  175  3  1  1.0000000000000000  1.0000000000000000  0  
60  64  1  178  3  1  1.0000000000000000  1.0000000000000000  0  
61  65  1  181  3  1  1.0000000000000000  1.0000000000000000  0  
62  66  1  184  3  1  1.0000000000000000  1.0000000000000000  0  
63  67  1  187  3  1  1.0000000000000000  1.0000000000000000  0  
64  68  1  190  3  1  1.0000000000000000  1.0000000000000000  0  
65  69  1  193  3  1  1.0000000000000000  1.0000000000000000  0  
66  70  1  196  3  1  1.0000000000000000  1.0000000000000000  0  
67  71  1  199  3  1  1.0000000000000000  1.0000000000000000  0  
68  72  1  202  3  1  1.0000000000000000  1.0000000000000000  0  
69  73  1  205  3  1  1.0000000000000000  1.0000000000000000  0  
70  74  1  208  3  1  1.0000000000000000  1.0000000000000000  0  
71  75  1  211  3  1  1.0000000000000000  1.0000000000000000  0  
72  76  1  214  3  1  1.0000000000000000  1.0000000000000000  0  
73  77  1  217  3  1  1.0000000000000000  1.0000000000000000  0  
74  78  1  220  3  1  1.0000000000000000  1.0000000000000000  0  
75  79  1  223  3  1  1.0000000000000000  1.0000000000000000  0  
76  80  1  226  3  1  1.0000000000000000  1.0000000000000000  0  
77  81  1  229  3  1  1.0000000000000000  1.0000000000000000  0  
78  82  1  232  3  1  1.0000000000000000  1.0000000000000000  0  
79  83  1  235  3  1  1.0000000000000000  1.0000000000000000  0  
80  84  1  238  3  1  1.0000000000000000  1.0000000000000000  0  
81  85  1  241  3  1  1.0000000000000000  1.0000000000000000  0  
82  86  1  244  3  1  1.0000000000000000  1.0000000000000000  0  
83  87  1  247  3  1  1.0000000000000000  1.0000000000000000  0  
84  88  1  250  3  1  1.0000000000000000  1.0000000000000000  0  
85  89  1  253  3  1  1.0000000000000000  1.0000000000000000  0  
86  90  1  256  3  1  1.0000000000000000  1.0000000000000000  0  
87  91  1  259  3  1  1.0000000000000000  1.0000000000000000  0  
88  92  1  262  3  1  1.0000000000000000  1.0000000000000000  0  
89  93  1  265  3  1  1.0000000000000000  1.0000000000000000  0  
90  94  1  268  3  1  1.0000000000000000  1.0000000000000000  0  
91  95  1  271  3  1  1.0000000000000000  1.0000000000000000  0  
92  96  1  274  3  1  1.0000000000000000  1.0000000000000000  0  
93  97  1  277  3  1  1.0000000000000000  1.0000000000000000  0  
94  98  1  280  3  1  1.0000000000000000  1.0000000000000000  0  
95  99  1  283  3  1  1.0000000000000000  1.0000000000000000  0  
96  102  3  286  3  1  0.2142405487562035  0.4507974090170335  0  
97  105  3  289  3  1  0.2113655199514554  0.4422591176042144  0  
98  108  3  292  3  1  0.2126754490832217  0.4571464451435870  0  
99  113  5  296  4  1  0.0451576100996830  0.6364505189776332  0  
100  118  5  301  5  1  0.1362020184297861  0.6477346095396525  0  
