Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  13  13  33  33  1  0.3925111948093025  0.3081196506641183  3  
2  26  13  66  33  1  0.3834536666105288  0.3339945405630424  4  
3  39  13  95  29  1  0.3350883493644707  0.3615912063419330  4  
4  50  11  122  27  1  0.3959568339274107  0.4092903314606844  3  
5  61  11  145  23  1  0.3729259321822904  0.4739651940479735  3  
6  72  11  168  23  1  0.3458637668286094  0.4026667322415562  3  
7  83  11  191  23  1  0.3705349600023314  0.3788444265342507  3  
8  94  11  215  24  1  0.3410610661559322  0.3647535987053244  3  
9  105  11  240  25  1  0.3535867778202102  0.4163109182439044  3  
10  116  11  266  26  1  0.3482335258338990  0.3325345826413400  3  
11  127  11  291  25  1  0.3845583986642182  0.4465403756307829  3  
12  136  9  309  18  1  0.3508888001875923  0.4589271321634292  2  
13  145  9  326  17  1  0.3552432855827602  0.3912426346255407  2  
14  154  9  344  18  1  0.3826049000660555  0.3464664284453275  2  
15  163  9  364  20  1  0.4406519709804724  0.3625453017577465  2  
16  172  9  382  18  1  0.4013771510967478  0.3303268047754193  2  
17  181  9  400  18  1  0.3942412882470308  0.3569605860342854  2  
18  190  9  419  19  1  0.3377274082148033  0.2795692635422172  2  
19  199  9  436  17  1  0.3289368101807391  0.3885349338051781  2  
20  206  7  451  15  1  0.2982107031290395  0.3163308164188924  1  
21  215  9  468  17  1  0.3673019571370744  0.4133842837287252  2  
22  224  9  486  18  1  0.3425035347880642  0.3063141655353764  2  
23  233  9  503  17  1  0.3374154909493806  0.3216973869433884  2  
24  242  9  519  16  1  0.3389606252756388  0.3402255344544622  2  
25  251  9  535  16  1  0.3717274443452237  0.3734972694357619  2  
26  260  9  551  16  1  0.3425802070694789  0.3998084079644501  2  
27  269  9  570  19  1  0.2743957426118031  0.3816606338186785  2  
28  278  9  591  21  1  0.2966990802691925  0.3585653107948079  2  
29  287  9  612  21  1  0.3449701464287878  0.3314968406063389  2  
30  296  9  632  20  1  0.3633294854613129  0.3438082019128316  2  
31  305  9  652  20  1  0.3932934521652193  0.3727472581752893  2  
32  314  9  672  20  1  0.4263731133042664  0.3331246140889013  2  
33  325  11  694  22  1  0.4539085821274549  0.3474350626282010  3  
34  336  11  718  24  1  0.4279805909042890  0.4126679902831025  3  
35  345  9  739  21  1  0.3108669091428224  0.3138131958319846  2  
36  354  9  759  20  1  0.3594277883669667  0.2998978316171018  2  
37  363  9  779  20  1  0.3530649339200432  0.3139370032731687  2  
38  372  9  798  19  1  0.3485937223312395  0.3220738885574643  2  
39  381  9  818  20  1  0.3268486189531670  0.3366122255334412  2  
40  390  9  839  21  1  0.3333202401880825  0.2988291266203900  2  
41  401  11  859  20  1  0.3852827098950256  0.3690980709552013  3  
42  410  9  876  17  1  0.3507897430392204  0.3656837300231864  2  
43  419  9  893  17  1  0.3216946075854977  0.3526788686616802  2  
44  428  9  912  19  1  0.3513368889735460  0.4559286921430558  2  
45  437  9  936  24  1  0.2809368884641061  0.3962177819696892  2  
46  446  9  961  25  1  0.3470106080032313  0.2997940455940387  2  
47  455  9  983  22  1  0.3745836055987996  0.3670249239372393  2  
48  466  11  1007  24  1  0.3789571365770005  0.2971065597399264  3  
49  477  11  1033  26  1  0.3844847340741597  0.3455272533914820  3  
50  488  11  1058  25  1  0.4132497817782118  0.2963969521869169  3  
51  499  11  1080  22  1  0.3892323148178773  0.4078364003235040  3  
52  508  9  1100  20  1  0.3488654756464005  0.3905985235014144  2  
53  517  9  1119  19  1  0.3475043380138095  0.3782189761497921  2  
54  526  9  1142  23  1  0.3540829017174872  0.3180985214654941  2  
55  537  11  1161  19  1  0.3510875598537208  0.3378302132247556  3  
56  546  9  1183  22  1  0.3454941421271973  0.3320922934906789  2  
57  555  9  1203  20  1  0.3258200453180923  0.2815993278228296  2  
58  564  9  1222  19  1  0.3266722084050466  0.3526670117245271  2  
59  573  9  1243  21  1  0.3592762113207582  0.4332264523495453  2  
60  582  9  1262  19  1  0.3389842238239257  0.4274770311783228  2  
61  591  9  1285  23  1  0.3031284575107279  0.3470564780910533  2  
62  600  9  1308  23  1  0.3296595102581965  0.3191798327600665  2  
63  609  9  1332  24  1  0.3167037061465569  0.3228374473528504  2  
64  618  9  1354  22  1  0.3139356519439774  0.3775406768414554  2  
65  627  9  1378  24  1  0.3687195667405237  0.3207788543557885  2  
66  638  11  1403  25  1  0.3813834352799981  0.3491010606638236  3  
67  647  9  1427  24  1  0.3524221333728267  0.2862448232111829  2  
68  656  9  1446  19  1  0.3162805713980715  0.3211657947327366  2  
69  665  9  1468  22  1  0.3269632994936643  0.3502069569595195  2  
70  674  9  1489  21  1  0.3510550075909591  0.3498447482369824  2  
71  683  9  1509  20  1  0.3700174187548143  0.3702792778568325  2  
72  692  9  1529  20  1  0.3555174657143648  0.4382913918455046  2  
