Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  7  7  10  10  1  0.2605581763156883  0.1537704365465071  0  
2  14  7  18  8  1  0.3103214060074878  0.2944494991590980  0  
3  21  7  24  6  1  0.4355829629326340  0.3242664793938169  0  
4  30  9  32  8  1  0.5257005052573918  0.4267689345957086  0  
5  39  9  39  7  1  0.5279881680635277  0.5586670871197609  0  
6  44  5  45  6  1  0.2555302670193323  0.1298760253529335  1  
7  49  5  50  5  1  0.0779795181122311  0.0824939656773333  0  
8  54  5  54  4  1  0.1077057042500810  0.0751427648761520  0  
9  59  5  58  4  1  0.0628703108193077  0.0582936050447693  0  
10  64  5  62  4  1  0.0805049436205755  0.0440894228396873  0  
11  69  5  66  4  1  0.0807865522916293  0.0418172131498735  0  
12  74  5  70  4  1  0.0774836540505990  0.0532235592434941  0  
13  79  5  74  4  1  0.0916595390511523  0.0581820486133347  0  
14  84  5  78  4  1  0.0872202964083259  0.0443213522226896  0  
15  89  5  82  4  1  0.0804217343958899  0.0542280810637482  0  
16  94  5  86  4  1  0.0700821812713713  0.1020693277082823  0  
17  99  5  90  4  1  0.0811548259293980  0.0650942235801108  0  
18  104  5  94  4  1  0.0880875869826016  0.0520063698375492  0  
19  109  5  98  4  1  0.0628754377331444  0.0450569121270228  0  
20  114  5  102  4  1  0.0784184125978781  0.0473603667992146  0  
21  119  5  106  4  1  0.1073902082797352  0.0652581225001223  0  
22  124  5  110  4  1  0.0731937076174871  0.0478074077029611  0  
23  129  5  114  4  1  0.0712684154984995  0.0400735766659309  0  
24  134  5  118  4  1  0.0705583090000574  0.0414653803916772  0  
25  139  5  122  4  1  0.0546152161362452  0.0389570981425350  0  
26  144  5  126  4  1  0.0580715517841850  0.0510097303990302  0  
27  149  5  130  4  1  0.0774877957838421  0.0571819112841332  0  
28  154  5  134  4  1  0.0837467520863782  0.0735043055794387  0  
29  159  5  138  4  1  0.0640996283792454  0.0409082540122899  0  
30  164  5  142  4  1  0.0574663873094703  0.0393728843961461  0  
31  169  5  146  4  1  0.0710284387106616  0.0437193362247880  0  
32  174  5  150  4  1  0.0669300146722773  0.0384863317410786  0  
33  179  5  154  4  1  0.0863699584982049  0.0374660187980060  0  
34  184  5  158  4  1  0.0700737515219912  0.0490288887453285  0  
35  189  5  162  4  1  0.0905147717245074  0.0535139165534494  0  
36  194  5  166  4  1  0.0787676490125742  0.0402858718680501  0  
37  199  5  170  4  1  0.0817676456633760  0.0414371522163022  0  
38  204  5  174  4  1  0.0986716429829632  0.0567579284705807  0  
39  209  5  178  4  1  0.0857703165305019  0.0533626063890472  0  
40  214  5  182  4  1  0.0363118955516932  0.0685676252454749  0  
41  219  5  186  4  1  0.1048644023707401  0.0878977851963963  0  
42  224  5  190  4  1  0.0776981258507157  0.0375660236935120  0  
43  229  5  194  4  1  0.0973226309538803  0.0767428965414297  0  
