Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  7  7  10  10  1  0.2605581763156883  0.1537704365465071  0  
2  14  7  18  8  1  0.2511446923238145  0.1606960266853999  0  
3  21  7  26  8  1  0.2390820373979948  0.1279829066949025  0  
4  28  7  32  6  1  0.2608282587518548  0.1493332802215922  0  
5  35  7  37  5  1  0.2521614804309852  0.1591940890781671  0  
6  42  7  42  5  1  0.2391485563329125  0.1518253497855809  0  
7  49  7  47  5  1  0.2318714016809374  0.1542417645082928  0  
8  56  7  52  5  1  0.2263413366103816  0.1543561829467107  0  
9  63  7  58  6  1  0.2237489465654578  0.1484353407034743  0  
10  70  7  63  5  1  0.2179608462706338  0.1505112974502407  0  
11  77  7  68  5  1  0.2133611077798844  0.1529302578656610  0  
12  84  7  73  5  1  0.2109749447670572  0.1494870281159781  0  
13  91  7  78  5  1  0.2080360566485562  0.1512465478817427  0  
14  98  7  83  5  1  0.2056600202131517  0.1508298919991878  0  
15  105  7  88  5  1  0.2037853363311099  0.1511719030656753  0  
16  110  5  92  4  1  0.4084103186083232  0.1766920471135268  0  
17  115  5  96  4  1  0.4072959085186232  0.1753738399827949  0  
18  120  5  100  4  1  0.4062466325533524  0.1741680998452640  0  
19  125  5  104  4  1  0.4052711005065245  0.1730426178596837  0  
20  130  5  108  4  1  0.4043516818343946  0.1719953356459031  0  
21  135  5  112  4  1  0.4034731112802963  0.1709821567734208  0  
22  140  5  116  4  1  0.4026119654599514  0.1700044552590995  0  
23  145  5  120  4  1  0.4017817687525363  0.1690411197623061  0  
24  150  5  124  4  1  0.4009751624397593  0.1681078157428788  0  
25  155  5  128  4  1  0.4001774465076466  0.1671889167314060  0  
26  160  5  132  4  1  0.3993892688182774  0.1662731299281743  0  
27  165  5  136  4  1  0.3986058585419717  0.1653617685741281  0  
28  170  5  140  4  1  0.3978154930404322  0.1644490450432509  0  
29  175  5  144  4  1  0.3970231139821793  0.1635251742348460  0  
30  180  5  148  4  1  0.3962168604712879  0.1625864894316244  0  
31  185  5  152  4  1  0.3953944650306953  0.1616225915237997  0  
32  190  5  156  4  1  0.3945532164079009  0.1606305313639632  0  
33  195  5  160  4  1  0.3936752814712138  0.1596060135600487  0  
34  200  5  164  4  1  0.3927691865703964  0.1585165338082700  0  
35  205  5  168  4  1  0.3918087240495213  0.1573783170744382  0  
36  210  5  172  4  1  0.3907938563401772  0.1561479993812992  0  
37  215  5  176  4  1  0.3896977571712433  0.1548367832549237  0  
38  220  5  180  4  1  0.3885038376905129  0.1533989968554983  0  
39  225  5  184  4  1  0.3871878086757331  0.1518094069396758  0  
40  230  5  188  4  1  0.3857204044916434  0.1500169952963773  0  
41  235  5  192  4  1  0.3840409483791347  0.1479799428605266  0  
42  240  5  196  4  1  0.3820856098059396  0.1456666539260637  0  
43  245  5  200  4  1  0.3797539942973035  0.1429321967477804  0  
44  250  5  204  4  1  0.3768887486307599  0.1397578636953372  0  
45  255  5  208  4  1  0.3732361469498742  0.1362392934556416  0  
46  260  5  212  4  1  0.3683710001242515  0.1328832517298062  0  
47  261  1  215  3  1  1.0000000000000000  1.0000000000000000  0  
48  262  1  218  3  1  1.0000000000000000  1.0000000000000000  0  
49  263  1  221  3  1  1.0000000000000000  1.0000000000000000  0  
50  264  1  224  3  1  1.0000000000000000  1.0000000000000000  0  
51  265  1  227  3  1  1.0000000000000000  1.0000000000000000  0  
52  266  1  230  3  1  1.0000000000000000  1.0000000000000000  0  
53  267  1  233  3  1  1.0000000000000000  1.0000000000000000  0  
54  268  1  236  3  1  1.0000000000000000  1.0000000000000000  0  
