Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  4  4  1  1.0000000000000000  0  
2  2  1  6  2  1  1.0000000000000000  0  
3  3  1  11  5  1  1.0000000000000000  0  
4  4  1  13  2  1  1.0000000000000000  0  
5  5  1  17  4  1  1.0000000000000000  0  
6  6  1  21  4  1  1.0000000000000000  0  
7  7  1  26  5  1  1.0000000000000000  0  
8  8  1  28  2  1  1.0000000000000000  0  
9  9  1  32  4  1  1.0000000000000000  0  
10  10  1  36  4  1  1.0000000000000000  0  
11  13  3  41  5  1  0.7790113681621612  0  
12  14  1  46  5  1  1.0000000000000000  0  
13  15  1  48  2  1  1.0000000000000000  0  
14  16  1  53  5  1  1.0000000000000000  0  
15  17  1  55  2  1  1.0000000000000000  0  
16  18  1  60  5  1  1.0000000000000000  0  
17  19  1  62  2  1  1.0000000000000000  0  
18  22  3  70  8  1  0.6800483870275549  0  
19  25  3  76  6  1  0.6359112784903439  0  
20  28  3  83  7  1  0.6072196891448624  0  
21  31  3  92  9  1  0.5078685231290175  0  
22  34  3  100  8  1  0.6663486963666178  0  
23  39  5  108  8  1  0.8702705097631900  0  
24  44  5  119  11  1  0.6746472442530111  0  
25  49  5  128  9  1  0.7256339394389543  0  
26  52  3  136  8  1  0.6956399366376006  0  
27  55  3  144  8  1  0.6064331254952416  0  
28  60  5  155  11  1  0.5822243855333014  0  
29  65  5  167  12  1  0.5291690473260957  0  
30  70  5  179  12  1  0.5526427692248796  0  
31  75  5  191  12  1  0.5957194403763981  0  
32  82  7  202  11  1  0.4668861348523845  0  
33  89  7  214  12  1  0.4721292925349532  0  
34  94  5  226  12  1  0.5770846624022253  0  
35  101  7  242  16  1  0.5525961652174791  0  
36  108  7  257  15  1  0.6060018425728889  0  
37  115  7  271  14  1  0.5635962577878363  0  
38  122  7  287  16  1  0.6268975513511766  0  
39  129  7  302  15  1  0.5288938762264211  0  
40  134  5  314  12  1  0.5575893147077688  0  
41  139  5  327  13  1  0.4463081701752274  0  
42  144  5  340  13  1  0.4175423921223425  0  
43  151  7  355  15  1  0.4365345321742862  0  
44  158  7  369  14  1  0.4074984283405398  0  
45  165  7  386  17  1  0.4103506638496113  0  
46  172  7  402  16  1  0.4845343255827813  0  
47  181  9  421  19  1  0.4302627984611148  0  
48  188  7  439  18  1  0.6038221719404948  0  
49  197  9  458  19  1  0.5037010792860419  0  
50  206  9  482  24  1  0.4523201514718656  0  
51  215  9  501  19  1  0.3807683687024251  0  
52  222  7  519  18  1  0.5983404952712869  0  
53  231  9  540  21  1  0.4060150259718844  0  
54  240  9  562  22  1  0.4253747741327009  0  
55  249  9  585  23  1  0.3883026403455228  0  
56  258  9  606  21  1  0.3942174426585485  0  
57  265  7  624  18  1  0.3475111950653882  0  
58  272  7  641  17  1  0.4156545682483780  0  
59  281  9  661  20  1  0.4373534842744839  0  
60  288  7  681  20  1  0.4493353388364107  0  
61  297  9  707  26  1  0.5007983037951356  0  
62  306  9  731  24  1  0.4621231684719997  0  
63  315  9  755  24  1  0.4025938703105193  0  
64  324  9  782  27  1  0.3572003100117195  0  
65  333  9  807  25  1  0.4761203516600383  0  
66  342  9  832  25  1  0.5163693010119387  0  
67  351  9  857  25  1  0.4589263216132783  0  
68  360  9  883  26  1  0.4278511605419738  0  
69  369  9  910  27  1  0.3781350876664584  0  
70  378  9  934  24  1  0.3422927161295046  0  
71  387  9  959  25  1  0.4129867335957054  0  
72  396  9  984  25  1  0.4234918730018478  0  
73  405  9  1011  27  1  0.4756543892360149  0  
74  416  11  1038  27  1  0.3986837369634189  0  
75  427  11  1068  30  1  0.4095213804903356  0  
76  438  11  1106  38  1  0.4330304560099630  0  
77  447  9  1137  31  1  0.3413751677595462  0  
78  458  11  1169  32  1  0.4539634170219259  0  
79  469  11  1201  32  1  0.5036489998515211  0  
80  480  11  1236  35  1  0.4495034449683783  0  
81  491  11  1270  34  1  0.4180943491774174  0  
