Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  3  3  1  1.0000000000000000  0  
2  2  1  5  2  1  1.0000000000000000  0  
3  3  1  8  3  1  1.0000000000000000  0  
4  4  1  10  2  1  1.0000000000000000  0  
5  5  1  12  2  1  1.0000000000000000  0  
6  6  1  14  2  1  1.0000000000000000  0  
7  7  1  16  2  1  1.0000000000000000  0  
8  8  1  18  2  1  1.0000000000000000  0  
9  9  1  20  2  1  1.0000000000000000  0  
10  10  1  22  2  1  1.0000000000000000  0  
11  11  1  24  2  1  1.0000000000000000  0  
12  12  1  26  2  1  1.0000000000000000  0  
13  13  1  28  2  1  1.0000000000000000  0  
14  14  1  30  2  1  1.0000000000000000  0  
15  15  1  32  2  1  1.0000000000000000  0  
16  16  1  34  2  1  1.0000000000000000  0  
17  17  1  36  2  1  1.0000000000000000  0  
18  18  1  38  2  1  1.0000000000000000  0  
19  19  1  40  2  1  1.0000000000000000  0  
20  20  1  42  2  1  1.0000000000000000  0  
21  21  1  44  2  1  1.0000000000000000  0  
22  22  1  46  2  1  1.0000000000000000  0  
23  23  1  48  2  1  1.0000000000000000  0  
24  24  1  50  2  1  1.0000000000000000  0  
25  25  1  52  2  1  1.0000000000000000  0  
26  26  1  54  2  1  1.0000000000000000  0  
27  27  1  56  2  1  1.0000000000000000  0  
28  28  1  58  2  1  1.0000000000000000  0  
29  29  1  60  2  1  1.0000000000000000  0  
30  30  1  62  2  1  1.0000000000000000  0  
31  31  1  64  2  1  1.0000000000000000  0  
32  32  1  66  2  1  1.0000000000000000  0  
33  33  1  68  2  1  1.0000000000000000  0  
34  34  1  70  2  1  1.0000000000000000  0  
35  35  1  72  2  1  1.0000000000000000  0  
36  36  1  74  2  1  1.0000000000000000  0  
37  37  1  76  2  1  1.0000000000000000  0  
38  38  1  78  2  1  1.0000000000000000  0  
39  39  1  80  2  1  1.0000000000000000  0  
40  40  1  82  2  1  1.0000000000000000  0  
41  41  1  84  2  1  1.0000000000000000  0  
42  42  1  86  2  1  1.0000000000000000  0  
43  43  1  88  2  1  1.0000000000000000  0  
44  44  1  90  2  1  1.0000000000000000  0  
45  45  1  92  2  1  1.0000000000000000  0  
46  46  1  94  2  1  1.0000000000000000  0  
47  47  1  96  2  1  1.0000000000000000  0  
48  48  1  98  2  1  1.0000000000000000  0  
49  49  1  100  2  1  1.0000000000000000  0  
50  50  1  102  2  1  1.0000000000000000  0  
51  51  1  105  3  1  1.0000000000000000  0  
52  52  1  107  2  1  1.0000000000000000  0  
53  53  1  110  3  1  1.0000000000000000  0  
54  54  1  112  2  1  1.0000000000000000  0  
55  55  1  114  2  1  1.0000000000000000  0  
56  56  1  116  2  1  1.0000000000000000  0  
57  57  1  118  2  1  1.0000000000000000  0  
58  58  1  120  2  1  1.0000000000000000  0  
59  59  1  122  2  1  1.0000000000000000  0  
60  60  1  124  2  1  1.0000000000000000  0  
61  61  1  126  2  1  1.0000000000000000  0  
62  62  1  128  2  1  1.0000000000000000  0  
63  63  1  130  2  1  1.0000000000000000  0  
64  64  1  132  2  1  1.0000000000000000  0  
65  65  1  134  2  1  1.0000000000000000  0  
66  66  1  136  2  1  1.0000000000000000  0  
67  67  1  138  2  1  1.0000000000000000  0  
68  68  1  140  2  1  1.0000000000000000  0  
69  69  1  142  2  1  1.0000000000000000  0  
70  70  1  144  2  1  1.0000000000000000  0  
71  71  1  146  2  1  1.0000000000000000  0  
72  72  1  148  2  1  1.0000000000000000  0  
73  73  1  150  2  1  1.0000000000000000  0  
74  74  1  152  2  1  1.0000000000000000  0  
75  75  1  154  2  1  1.0000000000000000  0  
76  76  1  156  2  1  1.0000000000000000  0  
77  77  1  158  2  1  1.0000000000000000  0  
78  78  1  160  2  1  1.0000000000000000  0  
79  79  1  162  2  1  1.0000000000000000  0  
80  80  1  164  2  1  1.0000000000000000  0  
81  81  1  166  2  1  1.0000000000000000  0  
82  82  1  168  2  1  1.0000000000000000  0  
83  83  1  170  2  1  1.0000000000000000  0  
84  84  1  172  2  1  1.0000000000000000  0  
85  85  1  174  2  1  1.0000000000000000  0  
86  86  1  176  2  1  1.0000000000000000  0  
87  87  1  178  2  1  1.0000000000000000  0  
88  88  1  180  2  1  1.0000000000000000  0  
89  89  1  182  2  1  1.0000000000000000  0  
90  90  1  184  2  1  1.0000000000000000  0  
91  91  1  186  2  1  1.0000000000000000  0  
92  92  1  188  2  1  1.0000000000000000  0  
93  93  1  190  2  1  1.0000000000000000  0  
94  94  1  192  2  1  1.0000000000000000  0  
95  95  1  194  2  1  1.0000000000000000  0  
96  96  1  196  2  1  1.0000000000000000  0  
97  97  1  198  2  1  1.0000000000000000  0  
98  98  1  200  2  1  1.0000000000000000  0  
99  99  1  202  2  1  1.0000000000000000  0  
100  100  1  204  2  1  1.0000000000000000  0  
