Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  5  5  5  5  1  0.2114924360158376  0.0882740572234151  0  
2  10  5  9  4  1  0.1912329779748067  0.0985390518458776  0  
3  15  5  13  4  1  0.1542536604471404  0.1234968833257414  0  
4  18  3  16  3  1  0.1664062148475921  0.1559453072580713  0  
5  21  3  19  3  1  0.0748682647317578  0.1242692976054857  0  
6  24  3  22  3  1  0.1169504662013998  0.1324981320786688  0  
7  27  3  25  3  1  0.1395992057034036  0.1606508421127259  0  
8  30  3  28  3  1  0.1512745656142458  0.1512676270979324  0  
9  33  3  31  3  1  0.1596022410231313  0.1649750554544692  0  
10  36  3  34  3  1  0.1665534436285240  0.1734655744348826  0  
11  39  3  37  3  1  0.1729035324931974  0.1763438719065794  0  
12  42  3  40  3  1  0.1788722769921501  0.1669125975071715  0  
13  43  1  43  3  1  1.0000000000000000  1.0000000000000000  0  
14  44  1  46  3  1  1.0000000000000000  1.0000000000000000  0  
15  45  1  49  3  1  1.0000000000000000  1.0000000000000000  0  
16  46  1  52  3  1  1.0000000000000000  1.0000000000000000  0  
17  47  1  55  3  1  1.0000000000000000  1.0000000000000000  0  
18  48  1  58  3  1  1.0000000000000000  1.0000000000000000  0  
19  49  1  61  3  1  1.0000000000000000  1.0000000000000000  0  
20  50  1  64  3  1  1.0000000000000000  1.0000000000000000  0  
21  51  1  66  2  1  1.0000000000000000  1.0000000000000000  0  
22  52  1  68  2  1  1.0000000000000000  1.0000000000000000  0  
23  53  1  70  2  1  1.0000000000000000  1.0000000000000000  0  
24  54  1  72  2  1  1.0000000000000000  1.0000000000000000  0  
25  55  1  74  2  1  1.0000000000000000  1.0000000000000000  0  
26  56  1  76  2  1  1.0000000000000000  1.0000000000000000  0  
27  57  1  78  2  1  1.0000000000000000  1.0000000000000000  0  
28  58  1  80  2  1  1.0000000000000000  1.0000000000000000  0  
29  59  1  82  2  1  1.0000000000000000  1.0000000000000000  0  
30  60  1  84  2  1  1.0000000000000000  1.0000000000000000  0  
31  61  1  86  2  1  1.0000000000000000  1.0000000000000000  0  
32  62  1  88  2  1  1.0000000000000000  1.0000000000000000  0  
