Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  5  5  10  10  1  0.1343530253474321  0.5130220996797625  0  
2  10  5  20  10  1  0.1329934606065254  0.5021085418698765  0  
3  13  3  26  6  1  0.1032493404671782  0.9995927008811102  0  
4  16  3  32  6  1  0.1101822879245595  0.9993027972673370  0  
5  19  3  37  5  1  0.1102511134009465  0.9993436122381563  0  
6  22  3  39  2  1  0.1638553735558951  0.9994282512521967  0  
7  25  3  44  5  1  0.1000789665030227  0.9995221468749405  0  
8  28  3  49  5  1  0.1035199397294967  0.9994439663403639  0  
9  31  3  54  5  1  0.1003155653802971  0.9995127131127166  0  
10  34  3  59  5  1  0.0860393349708331  0.9996218703217133  0  
11  37  3  64  5  1  0.0654482733236501  0.9996532498095402  0  
12  40  3  66  2  1  0.2442069247449673  0.9992512857568679  0  
13  43  3  68  2  1  0.1716895024701594  0.9993318651566966  0  
14  46  3  70  2  1  0.1814271939742345  0.9992477442190211  0  
15  49  3  72  2  1  0.1679957549459936  0.9992770624222026  0  
16  52  3  74  2  1  0.1137180915419894  0.9995104644825169  0  
17  55  3  76  2  1  0.1199903775161076  0.9994425073403526  0  
18  58  3  78  2  1  0.1135742570582990  0.9994810786616566  0  
19  61  3  80  2  1  0.0938803302778061  0.9995920507541369  0  
20  64  3  82  2  1  0.0762488649737805  0.9996456878745174  0  
21  67  3  84  2  1  0.0467566370807147  0.9996619534286523  0  
22  70  3  86  2  1  0.0651728106206953  0.9996336563922527  0  
23  73  3  88  2  1  0.0848096315955859  0.9995778035796186  0  
24  76  3  90  2  1  0.0975337650270094  0.9995166341641489  0  
25  79  3  92  2  1  0.1073314086759809  0.9994615234164314  0  
26  82  3  94  2  1  0.1153981086840420  0.9994163654084010  0  
27  85  3  96  2  1  0.1223394828460587  0.9993806485115317  0  
28  88  3  98  2  1  0.1285048188181568  0.9993526254508224  0  
29  91  3  100  2  1  0.1341095554175422  0.9993305596226306  0  
30  94  3  102  2  1  0.1393014357492503  0.9993130200410955  0  
31  97  3  104  2  1  0.1441884989237806  0.9992989127528829  0  
32  100  3  106  2  1  0.1488539416426361  0.9992874231703391  0  
33  103  3  108  2  1  0.1533646720560738  0.9992779526128819  0  
34  106  3  110  2  1  0.1577775976050927  0.9992700573880662  0  
35  109  3  112  2  1  0.1621434287563282  0.9992634071586077  0  
36  112  3  114  2  1  0.1665096592960346  0.9992577537338976  0  
37  115  3  116  2  1  0.1709231750239323  0.9992529080249746  0  
38  118  3  118  2  1  0.1754322248657529  0.9992487267294864  0  
39  121  3  120  2  1  0.1800892829997319  0.9992450976856738  0  
40  124  3  122  2  1  0.1849535112105040  0.9992419342808730  0  
41  127  3  124  2  1  0.1900942916052794  0.9992391693337671  0  
42  130  3  126  2  1  0.1955959469483117  0.9992367508787315  0  
43  133  3  128  2  1  0.2015645661614365  0.9992346381466762  0  
44  136  3  130  2  1  0.2081377911901593  0.9992328000813216  0  
45  139  3  132  2  1  0.2154997038525297  0.9992312158341146  0  
46  142  3  134  2  1  0.2239060781920346  0.9992298683336036  0  
47  145  3  136  2  1  0.2337239853564280  0.9992287501097915  0  
48  146  1  138  2  1  1.0000000000000000  1.0000000000000000  0  
49  147  1  140  2  1  1.0000000000000000  1.0000000000000000  0  
50  148  1  142  2  1  1.0000000000000000  1.0000000000000000  0  
51  149  1  144  2  1  1.0000000000000000  1.0000000000000000  0  
52  150  1  146  2  1  1.0000000000000000  1.0000000000000000  0  
53  151  1  148  2  1  1.0000000000000000  1.0000000000000000  0  
54  152  1  150  2  1  1.0000000000000000  1.0000000000000000  0  
55  153  1  152  2  1  1.0000000000000000  1.0000000000000000  0  
56  154  1  154  2  1  1.0000000000000000  1.0000000000000000  0  
57  155  1  156  2  1  1.0000000000000000  1.0000000000000000  0  
58  156  1  158  2  1  1.0000000000000000  1.0000000000000000  0  
59  159  3  160  2  1  0.2156980826515336  0.9992431383642061  0  
60  162  3  162  2  1  0.2008051040755480  0.9992496730677072  0  
61  165  3  164  2  1  0.1873603182023935  0.9992588560302449  0  
62  168  3  166  2  1  0.1752595373013562  0.9992710479602406  0  
63  171  3  168  2  1  0.1640455256995998  0.9992875413684815  0  
64  174  3  170  2  1  0.1532636534312774  0.9993103036904087  0  
65  177  3  172  2  1  0.1426711060587343  0.9993416207789377  0  
66  180  3  174  2  1  0.1319766693687678  0.9993844318811045  0  
67  183  3  176  2  1  0.1208064217042626  0.9994414643933268  0  
68  186  3  178  2  1  0.1086447865373953  0.9995122374821879  0  
69  189  3  180  2  1  0.0945687397917214  0.9995874945050112  0  
70  192  3  182  2  1  0.0763421060645258  0.9996453068859152  0  
71  195  3  184  2  1  0.0438014373153490  0.9996615281002269  0  
72  198  3  186  2  1  0.0659610774192767  0.9996321983936498  0  
73  201  3  188  2  1  0.0851653048326449  0.9995761287141273  0  
74  204  3  190  2  1  0.0978073378950250  0.9995148601724746  0  
75  207  3  192  2  1  0.1075147897056790  0.9994601901230082  0  
76  210  3  194  2  1  0.1155261905981358  0.9994154625595929  0  
77  213  3  196  2  1  0.1224337842618476  0.9993800880502324  0  
78  216  3  198  2  1  0.1285744746565291  0.9993523399715409  0  
79  219  3  200  2  1  0.1341616582644795  0.9993304864391100  0  
80  222  3  202  2  1  0.1393416123860468  0.9993131088775742  0  
81  225  3  204  2  1  0.1442209235814200  0.9992991268524081  0  
82  228  3  206  2  1  0.1488821494916941  0.9992877339491900  0  
83  231  3  208  2  1  0.1533915887420413  0.9992783389405989  0  
84  234  3  210  2  1  0.1578058256238553  0.9992705025674270  0  
85  237  3  212  2  1  0.1621751749016293  0.9992638988452741  0  
86  240  3  214  2  1  0.1665470147718350  0.9992582813948386  0  
87  243  3  216  2  1  0.1709679895493975  0.9992534635719835  0  
88  246  3  218  2  1  0.1754863055971229  0.9992493028426711  0  
89  251  5  223  5  1  0.1984355078891424  0.5564730705833084  0  
90  254  3  228  5  1  0.1022524131135505  0.9994959304361999  0  
91  257  3  233  5  1  0.1043868935904613  0.9994394518561379  0  
92  260  3  238  5  1  0.1059553954441397  0.9993787481261227  0  
93  263  3  243  5  1  0.1065431463391879  0.9993507371557521  0  
94  266  3  248  5  1  0.1065357321021248  0.9993517410695526  0  
95  269  3  253  5  1  0.1061754818045286  0.9993719188656167  0  
