Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  6  6  1  0.0050977651933059  0.9999999436562602  0  
2  8  5  15  9  1  0.0689183446641855  0.8490378648690846  0  
3  13  5  22  7  1  0.1252826195094509  1.1879296723453161  0  
4  18  5  29  7  1  0.2197491351786341  0.9470953490223845  0  
5  23  5  36  7  1  0.1132197565463482  0.6742389207115336  0  
6  28  5  43  7  1  0.1454614419440685  1.0068871270104489  0  
7  33  5  51  8  1  0.0532087750976672  0.9402563940500902  0  
8  38  5  57  6  1  0.2751338963478896  0.7277868470425168  0  
9  43  5  65  8  1  0.0541892058803587  0.7287390757182858  0  
10  48  5  71  6  1  0.3150585254926326  0.7599767637495951  0  
11  53  5  78  7  1  0.0676670711255567  0.6129767962597453  0  
12  58  5  84  6  1  0.3029891763215740  0.7347035564591340  0  
13  63  5  91  7  1  0.0569440284456494  0.7362668595695548  0  
14  68  5  97  6  1  0.1815876773534207  0.6473370739336536  0  
15  73  5  104  7  1  0.0947800829843413  0.5251506887242295  0  
16  78  5  112  8  1  0.0721114197866597  0.5510810391165712  0  
17  83  5  117  5  1  0.4367940388658229  0.5171463415963643  0  
18  88  5  124  7  1  0.0863586540386052  0.5835684755374966  0  
19  93  5  129  5  1  0.3476279158274397  0.6054309288619021  0  
20  98  5  136  7  1  0.0689608866760450  0.5641329817349429  0  
21  103  5  142  6  1  0.1107701460235420  0.4749043799459709  0  
22  108  5  147  5  1  0.3739983703641039  0.4171242638796941  0  
23  113  5  153  6  1  0.2966390513318730  0.4060688053398493  0  
24  118  5  158  5  1  0.3089010363095366  0.4714825091303150  0  
25  123  5  163  5  1  0.3981064799056513  0.4992582866947287  0  
26  128  5  169  6  1  0.1359100337218986  0.4746693729711460  0  
27  133  5  176  7  1  0.0795968435947697  0.4020446431449671  0  
28  138  5  183  7  1  0.0858882028769167  0.3530324414970863  0  
29  143  5  190  7  1  0.0879270460864839  0.3855956735846305  0  
30  148  5  197  7  1  0.0892976022453044  0.4076656464896107  0  
31  153  5  204  7  1  0.0864565577904532  0.4312467803748259  0  
32  158  5  211  7  1  0.0904306259617839  0.4440392427219717  0  
33  163  5  217  6  1  0.3389574148976334  0.4603784664342830  0  
34  168  5  222  5  1  0.1680169020007435  0.4824362835807038  0  
35  173  5  228  6  1  0.1583434679020814  0.4989775779933268  0  
36  178  5  234  6  1  0.3279095607874679  0.5096791151048877  0  
37  183  5  238  4  1  0.4091110064371606  0.5200348696130326  0  
38  188  5  242  4  1  0.3995118131968414  0.5327010417730990  0  
39  193  5  246  4  1  0.4025331426488234  0.5483167191692946  0  
40  198  5  250  4  1  0.3895123029074103  0.5645030821893124  0  
41  203  5  254  4  1  0.3918445187681215  0.5795323040869932  0  
42  208  5  258  4  1  0.3773930984977023  0.5927695008857244  0  
43  213  5  262  4  1  0.3796135597825162  0.6061964095557937  0  
44  218  5  266  4  1  0.3599850981290609  0.6209704427695458  0  
45  223  5  270  4  1  0.3660316509554621  0.6385550598011247  0  
46  228  5  274  4  1  0.3342671669589516  0.6576190665709599  0  
47  233  5  278  4  1  0.3759890077508927  0.6795124514726093  0  
48  238  5  283  5  1  0.3149384909146707  0.7027071764630565  0  
49  243  5  287  4  1  0.3117051725533190  0.7276078562449112  0  
50  244  1  291  4  1  1.0000000000000000  1.0000000000000000  0  
51  245  1  294  3  1  1.0000000000000000  1.0000000000000000  0  
52  246  1  297  3  1  1.0000000000000000  1.0000000000000000  0  
53  247  1  300  3  1  1.0000000000000000  1.0000000000000000  0  
54  248  1  303  3  1  1.0000000000000000  1.0000000000000000  0  
55  249  1  306  3  1  1.0000000000000000  1.0000000000000000  0  
56  250  1  309  3  1  1.0000000000000000  1.0000000000000000  0  
57  251  1  312  3  1  1.0000000000000000  1.0000000000000000  0  
58  252  1  315  3  1  1.0000000000000000  1.0000000000000000  0  
59  253  1  318  3  1  1.0000000000000000  1.0000000000000000  0  
60  258  5  322  4  1  0.4591182180134189  0.6676030658100728  0  
61  263  5  327  5  1  0.5084978690976800  0.6331639312723756  0  
62  268  5  332  5  1  0.5067424655981592  0.6179575367494944  0  
63  273  5  338  6  1  0.1971223616155429  0.6155702602623208  0  
64  278  5  343  5  1  0.4695891257281864  0.6023479310199013  0  
65  283  5  349  6  1  0.1937771913953037  0.5839453007060693  0  
66  288  5  354  5  1  0.4499748185178047  0.5674019155763148  0  
67  293  5  360  6  1  0.1941272861538405  0.5532003485427321  0  
68  298  5  365  5  1  0.4315277126063692  0.5409041615608994  0  
69  303  5  372  7  1  0.0509519888854033  0.5299241178590487  0  
70  308  5  377  5  1  0.4125324758073624  0.5181736195911938  0  
71  313  5  384  7  1  0.0969024195259133  0.5037809349339289  0  
72  318  5  389  5  1  0.3901645543189061  0.4872799381039001  0  
73  323  5  395  6  1  0.3133133807864529  0.4689864468446293  0  
74  328  5  400  5  1  0.2906199425472375  0.4524000137762559  0  
75  333  5  406  6  1  0.1268890738851821  0.4384780520802999  0  
76  338  5  412  6  1  0.1248741423841610  0.4226464129674828  0  
77  343  5  419  7  1  0.0822783424549424  0.4063728827102929  0  
78  348  5  426  7  1  0.0511801132247985  0.3945616383495881  0  
79  353  5  433  7  1  0.0851591546117917  0.3956278764226631  0  
80  358  5  440  7  1  0.0594744023125730  0.4089168466036144  0  
81  363  5  447  7  1  0.0884669336344279  0.4265601182587733  0  
82  368  5  454  7  1  0.1143500797972622  0.4445929335022054  0  
83  373  5  461  7  1  0.1030409371111802  0.4618776817386331  0  
84  378  5  468  7  1  0.0530965299734147  0.4782598836088245  0  
85  383  5  474  6  1  0.2959764678973997  0.4937290227710698  0  
86  388  5  481  7  1  0.0806753382221242  0.5086958819085293  0  
87  393  5  488  7  1  0.1433054914170047  0.5228328995720642  0  
88  398  5  496  8  1  0.0325137934922379  0.5365976505287572  0  
89  403  5  502  6  1  0.2585262623119342  0.5500583647173167  0  
90  408  5  509  7  1  0.0793828410625086  0.5641098586809508  0  
91  413  5  516  7  1  0.1523869656014754  0.5781684140451967  0  
92  418  5  524  8  1  0.0468598006654363  0.5925786988911264  0  
93  423  5  530  6  1  0.1460425794243966  0.6075408251736316  0  
94  428  5  538  8  1  0.0673161215304319  0.6233732893179552  0  
95  433  5  547  9  1  0.0418321959243557  0.6403703542956520  0  
96  438  5  555  8  1  0.1262786632223658  0.6589211250630591  0  
97  443  5  563  8  1  0.0554945272454890  0.6794631438546319  0  
98  448  5  572  9  1  0.0606548924990970  0.7025114887990425  0  
99  453  5  580  8  1  0.0898802169087872  0.7286226510196850  0  
100  458  5  588  8  1  0.0601288085465376  0.7580820189094309  0  
