Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  11  11  34  34  1  0.3625518574016462  0.4733418266921679  2  
2  24  13  70  36  1  0.4131981898743344  0.5248231427052529  3  
3  35  11  103  33  1  0.3206115008446301  0.4748364893434860  2  
4  46  11  135  32  1  0.3348213428008304  0.4791473013011233  2  
5  53  7  156  21  1  0.1776759902477652  0.4135850955997427  0  
6  60  7  177  21  1  0.2216572083210933  0.4173015987806600  0  
7  71  11  208  31  1  0.3601007089442592  0.4895368030093723  2  
8  80  9  234  26  1  0.3382037977334630  0.5092698659414909  1  
9  89  9  260  26  1  0.3429976853401940  0.5127661804609978  1  
10  98  9  286  26  1  0.3477386188005922  0.5160245472429749  1  
11  107  9  312  26  1  0.3524753615707122  0.5192709163094994  1  
12  116  9  338  26  1  0.3569672200261120  0.5225545031910265  1  
13  125  9  364  26  1  0.3610349173567666  0.5258760734379028  1  
14  134  9  390  26  1  0.3646055223721800  0.5292493384718246  1  
15  143  9  416  26  1  0.3677333778320721  0.5326737627276242  1  
16  152  9  442  26  1  0.3705317098943109  0.5361551003734779  1  
17  161  9  468  26  1  0.3731255908352840  0.5397079100257481  1  
18  170  9  494  26  1  0.3756291770451493  0.5433567759742139  1  
19  179  9  519  25  1  0.3767091491060122  0.5452754804578926  1  
20  188  9  544  25  1  0.3793541458016694  0.5492798607181100  1  
21  195  7  565  21  1  0.3280646230862692  0.5334183894985759  0  
22  202  7  585  20  1  0.3318208914462838  0.5390415515931544  0  
23  209  7  605  20  1  0.3360441073897890  0.5454079189430671  0  
24  216  7  625  20  1  0.3407196886101087  0.5524441064420904  0  
25  223  7  645  20  1  0.3460334815172309  0.5604036870332728  0  
26  230  7  665  20  1  0.3522448914252740  0.5696248308532184  0  
27  237  7  685  20  1  0.3597609683352727  0.5806069300246453  0  
28  244  7  705  20  1  0.3692050911887378  0.5940151287699139  0  
29  251  7  725  20  1  0.3816408890156663  0.6107322293421743  0  
30  258  7  745  20  1  0.3999796834468891  0.6324376518725424  0  
31  265  7  765  20  1  0.4377965014530854  0.6635831779571243  0  
32  268  3  774  9  1  0.1997242476929500  0.9993145111057904  0  
33  275  7  793  19  1  0.4542974587768915  0.7490736864087496  0  
34  282  7  811  18  1  0.4077812187177344  0.6710763647264367  0  
35  289  7  830  19  1  0.3811576602970745  0.6255072043201910  0  
36  296  7  849  19  1  0.3623174497131020  0.5934098850178049  0  
37  303  7  868  19  1  0.3477315869047934  0.5687210518844389  0  
38  310  7  888  20  1  0.3355302962224401  0.5481506481189299  0  
39  317  7  908  20  1  0.3250231926819466  0.5305670162066094  0  
40  324  7  928  20  1  0.3155673555412518  0.5148154934428067  0  
41  331  7  948  20  1  0.3068050683316143  0.5002778242543811  0  
42  338  7  968  20  1  0.2984777878387495  0.4865136851499710  0  
43  345  7  988  20  1  0.2903791876560406  0.4731789946176687  0  
44  352  7  1008  20  1  0.2823206550160435  0.4599741687041737  0  
45  359  7  1028  20  1  0.2741000078120967  0.4466045851059836  0  
46  366  7  1048  20  1  0.2654461910368016  0.4327419462672418  0  
47  373  7  1068  20  1  0.2558868455526795  0.4179751583903448  0  
48  380  7  1088  20  1  0.2450667349621138  0.4016997279263372  0  
49  387  7  1108  20  1  0.2339823912807005  0.3828790104901815  0  
50  394  7  1128  20  1  0.2193850866487973  0.3600243326784088  0  
51  401  7  1148  20  1  0.1963659758175323  0.3317345554393479  0  
52  408  7  1168  20  1  0.1521103393493906  0.3167710893862213  0  
53  415  7  1187  19  1  0.2003095054107312  0.3395276498520271  0  
54  422  7  1206  19  1  0.2183290670539908  0.3612062607579202  0  
55  429  7  1225  19  1  0.2297235526520584  0.3773107726118503  0  
56  436  7  1243  18  1  0.2380853617045040  0.3897800605679838  0  
57  443  7  1261  18  1  0.2447284012926408  0.3999388836794592  0  
58  450  7  1279  18  1  0.2506644136529637  0.4091181311249422  0  
59  457  7  1298  19  1  0.2548525984127753  0.4156929461486462  0  
60  464  7  1317  19  1  0.2589450816985781  0.4221240313052700  0  
61  471  7  1337  20  1  0.2628274572956099  0.4282740164548622  0  
62  478  7  1358  21  1  0.2662460431769382  0.4336574114850625  0  
63  485  7  1379  21  1  0.2693032630949854  0.4384980014520524  0  
64  492  7  1400  21  1  0.2721418388206754  0.4430007582819537  0  
65  499  7  1421  21  1  0.2748050602499512  0.4472311538561616  0  
66  506  7  1442  21  1  0.2773276181524869  0.4512431230226477  0  
67  513  7  1463  21  1  0.2797382388933198  0.4550816523329327  0  
68  520  7  1484  21  1  0.2820615970575644  0.4587849403245735  0  
69  527  7  1505  21  1  0.2843188794712471  0.4623863709333492  0  
70  534  7  1526  21  1  0.2865291865370408  0.4659160412454841  0  
71  541  7  1547  21  1  0.2887099241912400  0.4694020239222085  0  
72  548  7  1568  21  1  0.2908784177547976  0.4728714264304113  0  
73  555  7  1589  21  1  0.2930519338868176  0.4763513790194122  0  
74  562  7  1610  21  1  0.2952480220096846  0.4798700409375247  0  
75  569  7  1631  21  1  0.2974859154012056  0.4834576726816568  0  
76  576  7  1652  21  1  0.2997865107044871  0.4871478944468217  0  
77  583  7  1673  21  1  0.3021756040703253  0.4909793195496530  0  
78  590  7  1694  21  1  0.3046822990612116  0.4949977004159682  0  
79  597  7  1714  20  1  0.3071719688948007  0.4989649192589588  0  
80  604  7  1734  20  1  0.3100449562808909  0.5035604287050128  0  
81  611  7  1754  20  1  0.3131822927437111  0.5085615494214037  0  
82  618  7  1774  20  1  0.3166709558084954  0.5140932134122769  0  
83  627  9  1799  25  1  0.3810131206618677  0.5570234725609001  1  
84  636  9  1824  25  1  0.3841653206847356  0.5619649077220433  1  
85  645  9  1849  25  1  0.3876851240403920  0.5675595289928862  1  
86  654  9  1875  26  1  0.3916032352302182  0.5739890394279469  1  
87  663  9  1901  26  1  0.3954985600355717  0.5810369902049037  1  
88  672  9  1927  26  1  0.3967296335736935  0.5869199536734075  1  
89  681  9  1953  26  1  0.4075801765048530  0.5705032420018983  1  
90  690  9  1979  26  1  0.3807499200705846  0.6828541718248596  1  
91  701  11  2008  29  1  0.4571883009680006  0.5870745364082492  2  
92  710  9  2034  26  1  0.4515952783393135  0.6591347235620800  1  
93  719  9  2060  26  1  0.4168536886704601  0.6116415494517762  1  
94  728  9  2086  26  1  0.3933070053383901  0.5782925514794474  1  
95  737  9  2113  27  1  0.3744951829156065  0.5515828354490993  1  
96  746  9  2140  27  1  0.3578121962261211  0.5279176672858656  1  
97  755  9  2167  27  1  0.3417144033731563  0.5050053341482956  1  
98  762  7  2189  22  1  0.2533087128657229  0.4345436040984065  0  
99  769  7  2211  22  1  0.2328652284936338  0.4056455681994998  0  
100  776  7  2232  21  1  0.2049104170926051  0.3713901674260570  0  
