Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  7  7  10  10  1  0.1034461512732401  0.2596820595717597  0  
2  12  5  17  7  1  0.1513143621266054  0.6344260608217599  0  
3  17  5  24  7  1  0.1521099748778023  0.6344358685651146  0  
4  22  5  31  7  1  0.1525010490319905  0.6343692970470187  0  
5  27  5  38  7  1  0.1526682826663268  0.6342365724835926  0  
6  32  5  45  7  1  0.1527777442021720  0.6340624078850553  0  
7  37  5  52  7  1  0.1528686032829811  0.6338500558216388  0  
8  40  3  57  5  1  0.0966390009428005  0.9993667650301559  0  
9  43  3  62  5  1  0.0966337821479648  0.9993673336906471  0  
10  46  3  67  5  1  0.0966229745091548  0.9993681563332680  0  
11  49  3  72  5  1  0.0966115557685495  0.9993691911122279  0  
12  52  3  77  5  1  0.0965944590225072  0.9993705183938784  0  
13  55  3  82  5  1  0.0965698391347720  0.9993722229347269  0  
14  58  3  87  5  1  0.0965359121888911  0.9993744215323868  0  
15  61  3  92  5  1  0.0964887982768180  0.9993773042209262  0  
16  64  3  97  5  1  0.0964252530489398  0.9993811291257894  0  
17  67  3  102  5  1  0.0963326584770758  0.9993863634985398  0  
18  70  3  107  5  1  0.0961941341197732  0.9993937153910577  0  
19  73  3  112  5  1  0.0959781140279828  0.9994043613534975  0  
20  76  3  117  5  1  0.0956130777449439  0.9994203711680193  0  
21  79  3  122  5  1  0.0949651939901959  0.9994451229820502  0  
22  82  3  127  5  1  0.0936466633294361  0.9994842888158945  0  
23  85  3  132  5  1  0.0904487363735230  0.9995441920818121  0  
24  88  3  137  5  1  0.0806773547226283  0.9996185578786594  0  
25  91  3  142  5  1  0.0393401552521292  0.9996606573891200  0  
26  94  3  147  5  1  0.0782185327553846  0.9996255338504585  0  
27  97  3  152  5  1  0.0890723116043282  0.9995540942884580  0  
28  100  3  157  5  1  0.0926877205297477  0.9994943625312449  0  
29  103  3  162  5  1  0.0942540153094657  0.9994542140129677  0  
30  106  3  167  5  1  0.0950461832923716  0.9994284050010267  0  
31  109  3  172  5  1  0.0955132672674561  0.9994113932251603  0  
32  112  3  177  5  1  0.0957989196594062  0.9993999271616704  0  
33  115  3  182  5  1  0.0959904166568655  0.9993918809849975  0  
34  118  3  187  5  1  0.0961336794017118  0.9993859810160526  0  
35  121  3  192  5  1  0.0962306564981061  0.9993816600430989  0  
36  124  3  197  5  1  0.0963083190785398  0.9993783298864368  0  
37  127  3  202  5  1  0.0963698249144626  0.9993757287825882  0  
38  130  3  207  5  1  0.0964177210284030  0.9993736810810884  0  
39  133  3  212  5  1  0.0964551058381345  0.9993720505166576  0  
40  136  3  217  5  1  0.0964858920154231  0.9993707284217457  0  
41  139  3  222  5  1  0.0965135471084303  0.9993696266647197  0  
42  142  3  227  5  1  0.0965344289960706  0.9993687416830859  0  
43  145  3  232  5  1  0.0965530297075102  0.9993680020116797  0  
44  148  3  237  5  1  0.0965696320123656  0.9993673833605923  0  
45  151  3  242  5  1  0.0965829089276252  0.9993668824154255  0  
46  154  3  247  5  1  0.0965949318256961  0.9993664685674722  0  
47  159  5  252  5  1  0.2301387002941828  0.6378374085057954  0  
48  162  3  254  2  1  0.1824718162996170  0.9993682628777883  0  
49  165  3  256  2  1  0.1645129699858451  0.9993940591172489  0  
50  168  3  258  2  1  0.1345663553716913  0.9994726747121691  0  
51  171  3  260  2  1  0.1917046154445060  0.9993915401734155  0  
52  172  1  262  2  1  1.0000000000000000  1.0000000000000000  0  
53  173  1  264  2  1  1.0000000000000000  1.0000000000000000  0  
54  174  1  266  2  1  1.0000000000000000  1.0000000000000000  0  
55  175  1  268  2  1  1.0000000000000000  1.0000000000000000  0  
56  176  1  270  2  1  1.0000000000000000  1.0000000000000000  0  
57  179  3  275  5  1  0.0966418482254692  0.9993655683649311  0  
58  182  3  279  4  1  0.0964918044587938  0.9993656794709134  0  
59  185  3  283  4  1  0.0963952666575461  0.9993659912725341  0  
60  188  3  288  5  1  0.0966397043662743  0.9993665316015953  0  
61  191  3  293  5  1  0.0966321031539890  0.9993674262683271  0  
62  194  3  298  5  1  0.0966180758544749  0.9993687166793674  0  
63  197  3  303  5  1  0.0965951263669019  0.9993704697452094  0  
64  200  3  308  5  1  0.0965627151855983  0.9993727592166548  0  
65  203  3  313  5  1  0.0965168550099490  0.9993757477787808  0  
66  206  3  318  5  1  0.0964522426313608  0.9993796951423195  0  
67  209  3  323  5  1  0.0963606949698839  0.9993850189486747  0  
68  212  3  328  5  1  0.0962191487839501  0.9993924735687054  0  
69  215  3  333  5  1  0.0960096733598632  0.9994031205611446  0  
70  218  3  338  5  1  0.0956469414054417  0.9994191476161990  0  
71  221  3  343  5  1  0.0950074729490755  0.9994438734196479  0  
72  224  3  348  5  1  0.0936891948623341  0.9994831027130018  0  
73  227  3  353  5  1  0.0905231179815628  0.9995430869066609  0  
74  230  3  358  5  1  0.0808371132976950  0.9996178610283666  0  
75  233  3  363  5  1  0.0397515883772465  0.9996606053708529  0  
76  236  3  368  5  1  0.0781261068063849  0.9996258323853647  0  
77  239  3  373  5  1  0.0890346520476714  0.9995543816209898  0  
78  242  3  378  5  1  0.0926845283636946  0.9994944583541824  0  
79  245  3  383  5  1  0.0942501742529169  0.9994542766147083  0  
80  248  3  388  5  1  0.0950489233528544  0.9994284036350861  0  
81  251  3  393  5  1  0.0955086434502893  0.9994114437868756  0  
82  254  3  398  5  1  0.0957945205795158  0.9993999719690796  0  
83  257  3  403  5  1  0.0959906332155139  0.9993918836185600  0  
84  260  3  408  5  1  0.0961293991379225  0.9993860218956154  0  
85  263  3  413  5  1  0.0962292160868558  0.9993816749307232  0  
86  266  3  418  5  1  0.0963084672790227  0.9993783292669453  0  
87  269  3  423  5  1  0.0963696231701219  0.9993757311969194  0  
88  272  3  428  5  1  0.0964175210214412  0.9993736831276305  0  
89  275  3  433  5  1  0.0964519829673565  0.9993720793757617  0  
90  278  3  438  5  1  0.0964866576792342  0.9993707201214777  0  
91  281  3  443  5  1  0.0965098351870971  0.9993696605337388  0  
92  284  3  448  5  1  0.0965344910253557  0.9993687395605932  0  
93  287  3  453  5  1  0.0965529404804456  0.9993679998534729  0  
94  292  5  461  8  1  0.1532918244386661  0.6359215392918799  0  
95  297  5  469  8  1  0.1531556299292406  0.6358662132168399  0  
96  302  5  477  8  1  0.1529586425501338  0.6357602604172117  0  
97  307  5  485  8  1  0.1526553521128773  0.6356454830170634  0  
98  312  5  493  8  1  0.1520596825774372  0.6355271816652194  0  
99  317  5  501  8  1  0.1509128908012820  0.6354041396336511  0  
100  324  7  511  10  1  0.0468355973873816  0.1540360008537921  0  
