Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  4  4  1  0.0451705720994718  0.9996358267172957  0  
2  6  3  8  4  1  0.0457091935922031  0.9996347372442992  0  
3  9  3  10  2  1  0.1420762796788396  0.9996349266806303  0  
4  12  3  12  2  1  0.1833117567571876  0.9996349227123771  0  
5  15  3  14  2  1  0.3076582661895613  0.9996349354519736  0  
6  16  1  16  2  1  1.0000000000000000  1.0000000000000000  0  
7  17  1  18  2  1  1.0000000000000000  1.0000000000000000  0  
8  18  1  20  2  1  1.0000000000000000  1.0000000000000000  0  
9  19  1  22  2  1  1.0000000000000000  1.0000000000000000  0  
10  20  1  24  2  1  1.0000000000000000  1.0000000000000000  0  
11  21  1  26  2  1  1.0000000000000000  1.0000000000000000  0  
12  22  1  28  2  1  1.0000000000000000  1.0000000000000000  0  
13  23  1  30  2  1  1.0000000000000000  1.0000000000000000  0  
14  24  1  32  2  1  1.0000000000000000  1.0000000000000000  0  
15  25  1  34  2  1  1.0000000000000000  1.0000000000000000  0  
16  26  1  36  2  1  1.0000000000000000  1.0000000000000000  0  
17  27  1  38  2  1  1.0000000000000000  1.0000000000000000  0  
18  28  1  40  2  1  1.0000000000000000  1.0000000000000000  0  
19  29  1  42  2  1  1.0000000000000000  1.0000000000000000  0  
20  30  1  44  2  1  1.0000000000000000  1.0000000000000000  0  
21  31  1  46  2  1  1.0000000000000000  1.0000000000000000  0  
22  32  1  48  2  1  1.0000000000000000  1.0000000000000000  0  
23  33  1  50  2  1  1.0000000000000000  1.0000000000000000  0  
24  34  1  52  2  1  1.0000000000000000  1.0000000000000000  0  
25  35  1  54  2  1  1.0000000000000000  1.0000000000000000  0  
26  36  1  56  2  1  1.0000000000000000  1.0000000000000000  0  
27  37  1  58  2  1  1.0000000000000000  1.0000000000000000  0  
28  38  1  60  2  1  1.0000000000000000  1.0000000000000000  0  
29  39  1  62  2  1  1.0000000000000000  1.0000000000000000  0  
30  40  1  64  2  1  1.0000000000000000  1.0000000000000000  0  
31  41  1  66  2  1  1.0000000000000000  1.0000000000000000  0  
32  42  1  68  2  1  1.0000000000000000  1.0000000000000000  0  
33  43  1  70  2  1  1.0000000000000000  1.0000000000000000  0  
34  44  1  72  2  1  1.0000000000000000  1.0000000000000000  0  
35  45  1  74  2  1  1.0000000000000000  1.0000000000000000  0  
36  46  1  76  2  1  1.0000000000000000  1.0000000000000000  0  
37  47  1  78  2  1  1.0000000000000000  1.0000000000000000  0  
38  48  1  80  2  1  1.0000000000000000  1.0000000000000000  0  
39  49  1  82  2  1  1.0000000000000000  1.0000000000000000  0  
40  50  1  84  2  1  1.0000000000000000  1.0000000000000000  0  
41  51  1  86  2  1  1.0000000000000000  1.0000000000000000  0  
42  52  1  88  2  1  1.0000000000000000  1.0000000000000000  0  
43  53  1  90  2  1  1.0000000000000000  1.0000000000000000  0  
44  54  1  92  2  1  1.0000000000000000  1.0000000000000000  0  
45  55  1  94  2  1  1.0000000000000000  1.0000000000000000  0  
46  56  1  96  2  1  1.0000000000000000  1.0000000000000000  0  
47  57  1  98  2  1  1.0000000000000000  1.0000000000000000  0  
48  58  1  100  2  1  1.0000000000000000  1.0000000000000000  0  
49  59  1  102  2  1  1.0000000000000000  1.0000000000000000  0  
50  60  1  104  2  1  1.0000000000000000  1.0000000000000000  0  
51  61  1  106  2  1  1.0000000000000000  1.0000000000000000  0  
52  62  1  108  2  1  1.0000000000000000  1.0000000000000000  0  
53  63  1  110  2  1  1.0000000000000000  1.0000000000000000  0  
54  64  1  112  2  1  1.0000000000000000  1.0000000000000000  0  
55  65  1  114  2  1  1.0000000000000000  1.0000000000000000  0  
56  66  1  116  2  1  1.0000000000000000  1.0000000000000000  0  
57  67  1  118  2  1  1.0000000000000000  1.0000000000000000  0  
58  68  1  120  2  1  1.0000000000000000  1.0000000000000000  0  
59  69  1  122  2  1  1.0000000000000000  1.0000000000000000  0  
60  70  1  124  2  1  1.0000000000000000  1.0000000000000000  0  
61  71  1  126  2  1  1.0000000000000000  1.0000000000000000  0  
62  72  1  128  2  1  1.0000000000000000  1.0000000000000000  0  
63  73  1  130  2  1  1.0000000000000000  1.0000000000000000  0  
64  74  1  132  2  1  1.0000000000000000  1.0000000000000000  0  
65  75  1  134  2  1  1.0000000000000000  1.0000000000000000  0  
66  76  1  136  2  1  1.0000000000000000  1.0000000000000000  0  
67  77  1  138  2  1  1.0000000000000000  1.0000000000000000  0  
68  78  1  140  2  1  1.0000000000000000  1.0000000000000000  0  
69  79  1  142  2  1  1.0000000000000000  1.0000000000000000  0  
70  80  1  144  2  1  1.0000000000000000  1.0000000000000000  0  
71  81  1  146  2  1  1.0000000000000000  1.0000000000000000  0  
72  82  1  148  2  1  1.0000000000000000  1.0000000000000000  0  
73  83  1  150  2  1  1.0000000000000000  1.0000000000000000  0  
74  84  1  152  2  1  1.0000000000000000  1.0000000000000000  0  
75  85  1  154  2  1  1.0000000000000000  1.0000000000000000  0  
76  86  1  156  2  1  1.0000000000000000  1.0000000000000000  0  
77  87  1  158  2  1  1.0000000000000000  1.0000000000000000  0  
78  88  1  160  2  1  1.0000000000000000  1.0000000000000000  0  
79  89  1  162  2  1  1.0000000000000000  1.0000000000000000  0  
80  90  1  164  2  1  1.0000000000000000  1.0000000000000000  0  
81  91  1  166  2  1  1.0000000000000000  1.0000000000000000  0  
82  92  1  168  2  1  1.0000000000000000  1.0000000000000000  0  
83  93  1  170  2  1  1.0000000000000000  1.0000000000000000  0  
84  94  1  172  2  1  1.0000000000000000  1.0000000000000000  0  
85  95  1  174  2  1  1.0000000000000000  1.0000000000000000  0  
86  96  1  176  2  1  1.0000000000000000  1.0000000000000000  0  
87  97  1  178  2  1  1.0000000000000000  1.0000000000000000  0  
88  98  1  180  2  1  1.0000000000000000  1.0000000000000000  0  
89  101  3  182  2  1  0.1833166933914336  0.9996349053523352  0  
90  104  3  184  2  1  0.1900617116011370  0.9996349109175289  0  
91  107  3  186  2  1  0.1972681855363677  0.9996349008248546  0  
92  110  3  188  2  1  0.2050044767469551  0.9996349121621841  0  
93  113  3  190  2  1  0.2135269567418804  0.9996349045775972  0  
94  116  3  192  2  1  0.2229669351340252  0.9996349311568304  0  
95  119  3  194  2  1  0.2338394695146379  0.9996349228443465  0  
