Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  5  5  1  1.0000000000000000  0  
2  6  5  16  11  1  0.5863447369036960  0  
3  11  5  27  11  1  0.5481695209474224  0  
4  16  5  40  13  1  0.4920076261815816  0  
5  21  5  53  13  1  0.5846913440752682  0  
6  28  7  69  16  1  0.7486046628705479  0  
7  35  7  87  18  1  0.6578827870383591  0  
8  42  7  105  18  1  0.6562919477555503  0  
9  47  5  119  14  1  0.6510305094431540  0  
10  54  7  137  18  1  0.7647545709927344  0  
11  59  5  149  12  1  0.5349755288063741  0  
12  64  5  162  13  1  0.5281925694523522  0  
13  67  3  173  11  1  0.5563639150604843  0  
14  76  9  194  21  1  0.6173581556666506  1  
15  85  9  216  22  1  0.5993678435376389  1  
16  94  9  237  21  1  0.5954931303198581  1  
17  103  9  258  21  1  0.6809376137039421  1  
18  112  9  280  22  1  0.7250322357602037  1  
19  119  7  298  18  1  0.6914500753616157  0  
20  124  5  314  16  1  0.5752824267080597  0  
21  127  3  325  11  1  0.5076709059257323  0  
22  136  9  346  21  1  0.6319695425865324  1  
23  145  9  368  22  1  0.6049321720267976  1  
24  154  9  389  21  1  0.6172445585980255  1  
25  163  9  410  21  1  0.6903976260431831  1  
26  172  9  432  22  1  0.7129153979624721  1  
27  177  5  448  16  1  0.5231601242168050  0  
28  182  5  463  15  1  0.5478013580471014  0  
29  187  5  479  16  1  0.5806507629300838  0  
30  196  9  500  21  1  0.6849232762459405  1  
31  205  9  522  22  1  0.6147783105054678  1  
32  214  9  543  21  1  0.6069489278806599  1  
33  223  9  563  20  1  0.7331648167710987  1  
34  230  7  582  19  1  0.6724830126692394  0  
35  239  9  604  22  1  0.6329987671460522  1  
36  248  9  626  22  1  0.6110465129033588  1  
37  257  9  648  22  1  0.5668471866177932  1  
38  266  9  670  22  1  0.7915926067443618  1  
39  275  9  690  20  1  0.7005131250222122  1  
40  284  9  711  21  1  0.6817224134877163  1  
41  293  9  730  19  1  0.7666090704891306  1  
42  300  7  749  19  1  0.6285156956862086  0  
43  307  7  768  19  1  0.5503214468571767  0  
44  314  7  788  20  1  0.5612119162562716  0  
45  323  9  810  22  1  0.5566477483051925  1  
46  328  5  825  15  1  0.4074376431178093  0  
47  335  7  843  18  1  0.7910641715357506  0  
48  340  5  857  14  1  0.6789513310431405  0  
49  347  7  875  18  1  0.6276693870051784  0  
50  354  7  895  20  1  0.4280494555605248  0  
51  361  7  916  21  1  0.4683625922898911  0  
52  368  7  936  20  1  0.3972389040657561  0  
53  375  7  956  20  1  0.4769241679002664  0  
54  382  7  975  19  1  0.5545367296445459  0  
55  387  5  991  16  1  0.4542210809989810  0  
56  394  7  1011  20  1  0.5798188593375452  0  
57  401  7  1032  21  1  0.4722352453774857  0  
58  408  7  1053  21  1  0.5253378480862076  0  
59  415  7  1074  21  1  0.5207297665541400  0  
60  422  7  1095  21  1  0.4908235716915654  0  
61  429  7  1116  21  1  0.4095068065427090  0  
62  436  7  1137  21  1  0.4680097382563605  0  
63  443  7  1158  21  1  0.5062687259889836  0  
64  450  7  1179  21  1  0.5025138359075798  0  
65  457  7  1200  21  1  0.4264029177537144  0  
66  464  7  1221  21  1  0.4941423731262343  0  
67  473  9  1245  24  1  0.4400152625413028  1  
68  480  7  1266  21  1  0.4713942687190237  0  
69  487  7  1288  22  1  0.3881880433079121  0  
70  494  7  1310  22  1  0.4607462317069016  0  
71  503  9  1336  26  1  0.5525185905989707  1  
72  512  9  1362  26  1  0.5716513182117130  1  
73  519  7  1383  21  1  0.4685376784983186  0  
74  526  7  1404  21  1  0.3844972287884907  0  
75  533  7  1425  21  1  0.4067332377085359  0  
76  540  7  1447  22  1  0.3773431813305669  0  
77  547  7  1469  22  1  0.4385356347177841  0  
78  558  11  1499  30  1  0.5172667899168594  2  
79  569  11  1530  31  1  0.5666862382049307  2  
80  582  13  1565  35  1  0.6478839870771608  3  
81  593  11  1596  31  1  0.5867676570706376  2  
82  604  11  1627  31  1  0.5477386740289112  2  
83  615  11  1659  32  1  0.5464130935098058  2  
84  626  11  1691  32  1  0.5282904786754605  2  
85  637  11  1725  34  1  0.5310892133195664  2  
86  648  11  1759  34  1  0.5333564216372317  2  
87  659  11  1793  34  1  0.5439972363451616  2  
88  672  13  1830  37  1  0.5847336168155046  3  
89  685  13  1868  38  1  0.5529270966558093  3  
90  696  11  1903  35  1  0.5414434167070168  2  
91  707  11  1937  34  1  0.5257347607328332  2  
92  718  11  1972  35  1  0.5339430846164868  2  
93  729  11  2006  34  1  0.5403473467708002  2  
94  740  11  2042  36  1  0.5243529446100127  2  
95  751  11  2078  36  1  0.5376818573322172  2  
96  764  13  2119  41  1  0.5638383826073725  3  
97  777  13  2160  41  1  0.5567554690214372  3  
98  790  13  2201  41  1  0.5299508193192407  3  
99  801  11  2237  36  1  0.5237842025055051  2  
100  812  11  2273  36  1  0.5252812386723349  2  
