Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  7  7  23  23  1  0.2257880199985488  0.4217555835402212  0  
2  18  11  58  35  1  0.3213761283961643  0.4162469838216313  2  
3  27  9  85  27  1  0.2848794290316265  0.4376728560263204  1  
4  38  11  118  33  1  0.3398635818240777  0.4804214934250535  2  
5  49  11  151  33  1  0.3418289708023760  0.4799893243892749  2  
6  60  11  182  31  1  0.3176142117279344  0.4463155351858814  2  
7  69  9  208  26  1  0.2800016516890783  0.4175041060003514  1  
8  80  11  242  34  1  0.3127419722346680  0.4219627701266020  2  
9  91  11  276  34  1  0.3190772421416901  0.4288313421302862  2  
10  102  11  309  33  1  0.3183180409187292  0.4292632168301919  2  
11  113  11  341  32  1  0.3183355197798876  0.4310583817203355  2  
12  122  9  367  26  1  0.3671395415279434  0.5434647995963073  1  
13  131  9  394  27  1  0.3875665559912877  0.5751445847755288  1  
14  140  9  420  26  1  0.3632938674760033  0.6295628461684376  1  
15  147  7  442  22  1  0.3717012632832351  0.6187607824320143  0  
16  154  7  463  21  1  0.3415130138662890  0.5875028755522634  0  
17  163  9  489  26  1  0.2274081212358525  0.3673595397166090  1  
18  172  9  514  25  1  0.1976017679138173  0.3608132773036111  1  
19  181  9  539  25  1  0.1767341199309848  0.3500229852548298  1  
20  188  7  559  20  1  0.3156217953779497  0.5352152613627496  0  
21  195  7  579  20  1  0.2983085542732328  0.5051785210786004  0  
22  202  7  599  20  1  0.2759991064283762  0.4662950721455345  0  
23  209  7  619  20  1  0.2473269944015611  0.4140298634706007  0  
24  216  7  639  20  1  0.1702553981564415  0.3142090457463613  0  
25  223  7  659  20  1  0.2319415158148232  0.3933189015431030  0  
26  230  7  678  19  1  0.2565515585155659  0.4341431927306283  0  
27  237  7  697  19  1  0.2737246594932276  0.4632846970993877  0  
28  244  7  717  20  1  0.2887064138517865  0.4889830718714199  0  
29  251  7  737  20  1  0.3017852568704897  0.5117335597098071  0  
30  256  5  752  15  1  0.1364488914431648  0.4602484952329224  0  
31  263  7  773  21  1  0.2904088251313193  0.5002358873250020  0  
32  272  9  799  26  1  0.2863346039194247  0.4342453112880436  1  
33  281  9  829  30  1  0.3574702254530309  0.5137411428474370  1  
34  290  9  858  29  1  0.3235955513214006  0.4768041792169841  1  
35  299  9  886  28  1  0.3071218778986628  0.4568753237846364  1  
36  308  9  912  26  1  0.2994821333765791  0.4458334855410529  1  
37  317  9  938  26  1  0.2931314405043528  0.4362463281782957  1  
38  326  9  963  25  1  0.2863827581285486  0.4258610468389732  1  
39  335  9  988  25  1  0.2740454339936719  0.4073705707069816  1  
40  342  7  1009  21  1  0.2794859302167348  0.4700430663207548  0  
41  349  7  1030  21  1  0.2565078895033044  0.4263030118712248  0  
42  356  7  1051  21  1  0.1430235016514669  0.3386508424616020  0  
43  363  7  1072  21  1  0.2552160848639653  0.4325321451949303  0  
44  370  7  1093  21  1  0.2823774380796887  0.4783790656950442  0  
45  379  9  1120  27  1  0.2721311025234703  0.4131494925968973  1  
46  388  9  1148  28  1  0.2608556094888621  0.4010900958227561  1  
47  393  5  1165  17  1  0.1432927437604991  0.4803366369032435  0  
48  402  9  1193  28  1  0.2942253087304016  0.4357129906658230  1  
49  411  9  1222  29  1  0.2421678827147291  0.4260863210369989  1  
50  420  9  1251  29  1  0.3169043442050997  0.4630815098713761  1  
51  429  9  1278  27  1  0.3038805384206764  0.4488672210749992  1  
52  438  9  1304  26  1  0.2986692122212300  0.4426997633630772  1  
53  447  9  1330  26  1  0.2926948554653667  0.4343386019864462  1  
54  456  9  1356  26  1  0.2854346283498495  0.4235923746228953  1  
55  465  9  1382  26  1  0.2695386209110333  0.4003030042791459  1  
56  472  7  1404  22  1  0.2715038711520503  0.4530850595110046  0  
57  479  7  1426  22  1  0.2137176414162017  0.3707102583886229  0  
58  486  7  1448  22  1  0.2431397460161303  0.4145576157392908  0  
59  493  7  1471  23  1  0.2704478668482194  0.4573886208790699  0  
60  500  7  1494  23  1  0.2855580968011863  0.4821868911781473  0  
61  509  9  1522  28  1  0.2722180724985324  0.4085455892681457  1  
62  518  9  1550  28  1  0.2658042982705382  0.3998261771053312  1  
63  527  9  1578  28  1  0.2541935093657101  0.3857160127577782  1  
64  536  9  1606  28  1  0.1853664565262026  0.3545824496120762  1  
65  543  7  1629  23  1  0.2526216797412841  0.4360097971290357  0  
66  552  9  1657  28  1  0.3017682525855712  0.4395035310370397  1  
67  561  9  1687  30  1  0.3011880366022886  0.4429641676465463  1  
68  570  9  1714  27  1  0.2952113872372662  0.4369541939293272  1  
69  579  9  1741  27  1  0.2937127491539029  0.4359169124772454  1  
70  588  9  1767  26  1  0.2915665249481544  0.4333092118530902  1  
71  597  9  1793  26  1  0.2819314729861818  0.4170976676631329  1  
72  606  9  1821  28  1  0.2352560504327141  0.3854907562376407  1  
73  615  9  1850  29  1  0.2863903709285789  0.4554267823482173  1  
74  624  9  1879  29  1  0.3138721261115018  0.4906308486238204  1  
75  633  9  1908  29  1  0.3205162855170297  0.4970673906331302  1  
76  642  9  1938  30  1  0.3085648386987888  0.4732173668771809  1  
77  651  9  1967  29  1  0.2549054985827611  0.4045549489040713  1  
