Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  9  9  1  0.2124727794186132  0.0000000000000000  1  
2  12  3  1  0.0135965073668356  0.0126500111462141  0  
3  17  5  1  0.0388048473037070  0.0794305769584327  0  
4  20  3  1  0.0404419237050927  0.0455044135373723  0  
5  24  4  1  0.0119755618650698  0.0505179090200764  0  
6  26  2  1  0.0003691619104757  0.0077095287152457  0  
7  29  3  1  0.0501558017933837  0.0695128089938624  0  
8  31  2  1  0.0013129451409128  0.0116407739963079  0  
9  34  3  1  0.0560299209559302  0.0778724403319388  0  
10  36  2  1  0.0011340331123391  0.0125487665077549  0  
11  39  3  1  0.0607296640506145  0.0843674208210300  0  
12  41  2  1  0.0011957754362625  0.0138060996989127  0  
13  44  3  1  0.0653586563168642  0.0905291455586415  0  
14  46  2  1  0.0013253853154967  0.0156050626456217  0  
15  49  3  1  0.0711233999246489  0.0979916966030640  0  
16  51  2  1  0.0016175528692928  0.0182618302827776  0  
17  54  3  1  0.0790339388535318  0.1079224942935838  0  
18  56  2  1  0.0021109768884735  0.0224058841497121  0  
19  59  3  1  0.0906808470097868  0.1219638069124369  0  
20  61  2  1  0.0030587844586966  0.0295336755642937  0  
21  64  3  1  0.1093946523613990  0.1429427102706432  0  
22  66  2  1  0.0055186696321271  0.0442418248640223  0  
23  69  3  1  0.1429188301447664  0.1743318557148859  0  
24  71  2  1  0.0192979212863011  0.0910417181930666  0  
25  73  2  1  1.4895241237748862  0.1685601279073301  0  
26  77  4  1  0.0531508144276995  0.2468102998039201  0  
27  79  2  1  0.0008649610838383  0.1945721945328917  0  
28  83  4  1  0.0367315230464671  0.0997571411572451  0  
29  85  2  1  0.0006678482844548  0.0634585807433199  0  
30  88  3  1  0.1315713234734296  0.2043368312197003  0  
31  90  2  1  0.0026489971260342  0.0356708399793823  0  
32  93  3  1  0.1116923449861456  0.1693741495475336  0  
33  95  2  1  0.0013826098664247  0.0253609998850167  0  
34  98  3  1  0.0987907946696310  0.1482529934671936  0  
35  100  2  1  0.0009642982923194  0.0200598329142590  0  
36  103  3  1  0.0868723731096620  0.1295952015068023  0  
37  105  2  1  0.0007922681674424  0.0168684658923979  0  
38  108  3  1  0.0777671346923572  0.1155926822584330  0  
39  110  2  1  0.0007248635317763  0.0148201800419800  0  
40  113  3  1  0.0707724175772118  0.1049901852846257  0  
41  115  2  1  0.0007293193223347  0.0134474780020777  0  
42  118  3  1  0.0655511038632742  0.0972270077752583  0  
43  120  2  1  0.0006512793287152  0.0125322561988855  0  
44  123  3  1  0.0617162318408300  0.0917546254071756  0  
45  125  2  1  0.0006470345354217  0.0119752065043834  0  
46  128  3  1  0.0589850200358630  0.0883302064922980  0  
47  130  2  1  0.0007144775790766  0.0117888233471545  0  
48  134  4  1  0.0150876213703749  0.0428041674702734  0  
49  136  2  1  0.0003833216478516  0.0144581349826351  0  
50  140  4  1  0.0144955717274749  0.0441950040181548  0  
51  143  3  1  0.0068278889818113  0.0026717251875471  0  
52  147  4  1  0.0181106221946467  0.0328398877800733  0  
53  149  2  1  0.0010054846600840  0.0114782721598225  0  
54  152  3  1  0.0489261193274925  0.0664367096140066  0  
55  154  2  1  0.0012298770197131  0.0107265813158813  0  
56  157  3  1  0.0535732813967024  0.0739828598167362  0  
57  159  2  1  0.0010403447056733  0.0112381775126045  0  
58  162  3  1  0.0569288685266204  0.0790430177773757  0  
59  164  2  1  0.0009870923596275  0.0120085698665741  0  
60  167  3  1  0.0599285874938365  0.0832903589065146  0  
61  169  2  1  0.0011066203142060  0.0130877217960241  0  
62  172  3  1  0.0635262227535598  0.0881433344631749  0  
63  174  2  1  0.0012200071670960  0.0146060187160541  0  
64  177  3  1  0.0682632369758377  0.0943356232695499  0  
65  179  2  1  0.0014932895368864  0.0167923180407381  0  
66  182  3  1  0.0748183075201031  0.1026764923533607  0  
67  184  2  1  0.0018342235066557  0.0200852947746258  0  
68  187  3  1  0.0842755464779668  0.1143309771566408  0  
69  189  2  1  0.0025086634364434  0.0254355402647512  0  
70  192  3  1  0.0988288373683750  0.1313507250306244  0  
71  194  2  1  0.0039140236871849  0.0353585681242315  0  
72  197  3  1  0.1236313907871927  0.1573757892709855  0  
73  199  2  1  0.0086232713736133  0.0593887558631359  0  
74  202  3  1  0.1556691662588633  0.1790242855823813  0  
75  204  2  1  1.0885796370540195  0.1916608609428085  0  
76  208  4  1  0.0434677535432609  0.3408916816957808  0  
77  210  2  1  0.0015537259679774  0.1489656673820393  0  
78  214  4  1  0.0370405685311808  0.1009776484192544  0  
79  216  2  1  0.0005347690869136  0.0640149193334308  0  
80  219  3  1  0.1286751728972295  0.1999901457749132  0  
81  221  2  1  0.0028686339755017  0.0357319303056212  0  
82  224  3  1  0.1108284435571375  0.1681304995054488  0  
83  226  2  1  0.0014387840130325  0.0253966352881941  0  
84  229  3  1  0.0982283703045515  0.1474319457484879  0  
85  231  2  1  0.0009620555311443  0.0200757657883482  0  
86  234  3  1  0.0866115768281346  0.1292121036489669  0  
87  236  2  1  0.0008512519888685  0.0168784996836088  0  
88  239  3  1  0.0776311017151915  0.1153882569953799  0  
89  241  2  1  0.0007521867724135  0.0148261678848585  0  
90  244  3  1  0.0707030086066593  0.1048901622859089  0  
91  246  2  1  0.0007438106475078  0.0134516283396570  0  
92  249  3  1  0.0655182310478882  0.0971774695124433  0  
93  251  2  1  0.0006748803741438  0.0125352931311888  0  
94  254  3  1  0.0617035081100679  0.0917306091959231  0  
95  256  2  1  0.0006663292637508  0.0119775204557024  0  
96  259  3  1  0.0589769144118610  0.0883203190239241  0  
97  261  2  1  0.0007148984004218  0.0117907893737571  0  
98  265  4  1  0.0155385604338449  0.0427942955818169  0  
99  267  2  1  0.0004324260582992  0.0144572115834653  0  
100  271  4  1  0.0145855711880871  0.0442004181065020  0  
