Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  89  89  1  0.8555296671571101  inf  2  
2  138  49  1  0.7832410635557709  1.2269513790370854  0  
3  183  45  1  0.7476013082027144  1.1698500571544121  0  
4  231  48  1  0.7720910388083991  1.1644680710554349  0  
5  285  54  1  0.8079097423211220  1.1704669570473158  0  
6  341  56  1  0.8032622522974909  1.1081282385089652  3  
7  397  56  1  0.8048924709054406  1.1030418143017542  3  
8  453  56  1  0.7921732394429511  1.1393270018083734  4  
9  518  65  1  0.8188917402448017  1.0634755466301233  6  
10  577  59  1  0.8196330585449358  1.0914998990836939  11  
11  629  52  1  0.7844418177576091  1.1519391855730461  8  
12  693  64  1  0.8292455859008703  1.0584981860981817  6  
13  759  66  1  0.7956276116303812  1.0585699403801689  8  
14  817  58  1  0.8011601238484831  1.1619046502547326  11  
15  881  64  1  0.8066592466006743  1.0604619346181505  7  
16  936  55  1  0.7939324314130856  1.0803351359047664  10  
17  989  53  1  0.7676852994171776  1.0964073151782330  7  
18  1036  47  1  0.7598692613033668  1.1901892170842849  8  
19  1089  53  1  0.8043389526976072  1.2243338839768612  8  
20  1161  72  1  0.8516093733060103  1.0118913527387303  6  
21  1245  84  1  0.8684485489962330  1.0486119366420785  14  
22  1345  100  0  0.9487744500648754  1.1457041627265676  14  
23  1445  100  0  0.9653183549109141  1.0397726692661824  0  
24  1545  100  0  0.9307748740467192  1.0647769812877799  1  
25  1645  100  0  -nan  -nan  0  
26  1745  100  0  -nan  -nan  0  
27  1845  100  0  -nan  -nan  0  
