Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  1  0.0004469188604611  inf  0  
2  5  2  1  0.0005127973264543  865.6385955672341197  0  
3  7  2  1  0.0016557649527027  144.8962209788319626  0  
4  9  2  1  0.0019365365677810  91.1037266295629991  0  
5  11  2  1  0.0011464181731076  126.2849475147260563  0  
6  13  2  1  0.0017191015486026  88.9305718534499903  0  
7  15  2  1  0.0021516649677497  71.1265168090951363  0  
8  17  2  1  0.0020866194610623  66.2897063009725542  0  
9  19  2  1  0.0021959746379529  58.7508203791235672  0  
10  21  2  1  0.0024292752938894  51.9071390231079306  0  
11  23  2  1  0.0025618954963328  47.0466711612002015  0  
12  25  2  1  0.0027309384923353  42.7681216762643572  0  
13  27  2  1  0.0029238085062762  38.9145739947004117  0  
14  29  2  1  0.0031382771939881  35.5626509243743243  0  
15  31  2  1  0.0033852051160922  32.5252325158827631  0  
16  33  2  1  0.0036784171959389  29.7239418705258203  0  
17  35  2  1  0.0040368238682028  27.0994560673595046  0  
18  37  2  1  0.0044881862771291  24.5858958018846785  0  
19  39  2  1  0.0050779920088556  22.1209724526735876  0  
20  41  2  1  0.0058825968006700  19.6358709719615270  0  
21  43  2  1  0.0070417979446586  17.0416996297786802  0  
22  45  2  1  0.0088390469066919  14.2031138456504564  0  
23  47  2  1  0.0119521243548222  10.8623515831285289  0  
24  49  2  1  0.0211869907867777  6.4150824847690622  0  
25  51  2  1  0.0769622636390224  7.5024110989839468  0  
26  53  2  1  0.0395035049641102  22.0439021611415598  0  
27  55  2  1  0.0123233153678943  14.0003220825354919  0  
28  57  2  1  0.0148065488856720  16.1990442709321982  0  
29  59  2  1  0.0081224811643807  22.8509070783143713  0  
30  61  2  1  0.0072907929089863  22.0532885139697648  0  
31  63  2  1  0.0058307856909840  25.8496484218964468  0  
32  65  2  1  0.0048980155829809  27.8592131659715001  0  
33  67  2  1  0.0044475657618346  30.6261424565691591  0  
34  69  2  1  0.0038659012529978  33.5464759355010358  0  
35  71  2  1  0.0035622196380181  36.5725366754261429  0  
36  73  2  1  0.0032254438192570  40.1460530736590684  0  
37  75  2  1  0.0029752470764483  44.0297543895073247  0  
38  77  2  1  0.0027476538915515  48.6176184824042181  0  
39  79  2  1  0.0025416345593320  53.9648830654624163  0  
40  81  2  1  0.0023562020138274  60.4174507017383178  0  
41  83  2  1  0.0021776307560879  68.3950433045655615  0  
42  85  2  1  0.0020072070956014  78.5547777746394758  0  
43  87  2  1  0.0018375280331264  92.0709991002102583  0  
44  89  2  1  0.0016657591500536  111.0415073832818678  0  
45  91  2  1  0.0014866380278994  139.9894496767247460  0  
46  93  2  1  0.0012935013364484  190.6933916257381156  0  
47  95  2  1  0.0010751698121404  309.7273892113378224  0  
48  97  2  1  0.0008101265307705  592.2413185834510614  0  
49  99  2  1  0.0004121096726012  387.0575055750176148  0  
50  101  2  1  0.0005608700713423  415.8447423410586339  0  
51  103  2  1  0.0008913590672665  580.6493511080475400  0  
52  105  2  1  0.0011299527069922  258.2093358471771012  0  
53  107  2  1  0.0013279121215431  171.1052517968976758  0  
54  109  2  1  0.0015043444425349  129.3652153712343136  0  
55  111  2  1  0.0016663682842615  104.2639771065904455  0  
56  113  2  1  0.0018188498959232  87.3216720177568391  0  
57  115  2  1  0.0019665979282262  75.0241200947800451  0  
58  117  2  1  0.0021126310248890  65.6365097655035754  0  
59  119  2  1  0.0022599603117252  58.1970855790083021  0  
60  121  2  1  0.0024120605679710  52.1227380321000808  0  
61  123  2  1  0.0025718454810750  47.0384234151812066  0  
62  125  2  1  0.0027438258219579  42.6909871759381403  0  
63  127  2  1  0.0029329585714828  38.9003328564086104  0  
64  129  2  1  0.0031468565854347  35.5346543423647745  0  
65  131  2  1  0.0033935271019891  32.4921449011471566  0  
66  133  2  1  0.0036857745702442  29.6922194746903365  0  
67  135  2  1  0.0040431055141048  27.0654358667296080  0  
68  137  2  1  0.0044930978044159  24.5491333059390264  0  
69  139  2  1  0.0050814427603934  22.0812212442876579  0  
70  141  2  1  0.0058834642056799  19.5918904774989180  0  
71  143  2  1  0.0070399904735174  16.9918583588048548  0  
72  145  2  1  0.0088340426984043  14.1440071249505888  0  
73  147  2  1  0.0119452691928937  10.7859737085542573  0  
74  149  2  1  0.0209571727226887  6.2967007586025119  0  
75  151  2  1  0.0754033796111754  7.5323211678724924  0  
76  153  2  1  0.0398907310024450  21.3010711179246535  0  
77  155  2  1  0.0125887836971159  14.3336141549765603  0  
78  157  2  1  0.0147384215365466  16.1238224821210352  0  
79  159  2  1  0.0082494659498022  22.8881341455457914  0  
80  161  2  1  0.0072838633481061  22.1338034337435730  0  
81  163  2  1  0.0058507750833453  25.8477817988439966  0  
82  165  2  1  0.0049054214300762  27.9066388020977278  0  
83  167  2  1  0.0044450186961377  30.6500873947651051  0  
84  169  2  1  0.0038700657558483  33.5713535348021850  0  
85  171  2  1  0.0035574177767972  36.6000333505655959  0  
86  173  2  1  0.0032238542280122  40.1640655417195305  0  
87  175  2  1  0.0029710575012856  44.0527068315935537  0  
88  177  2  1  0.0027434484411617  48.6338158526490361  0  
89  179  2  1  0.0025371156886745  53.9816630049018542  0  
90  181  2  1  0.0023510932793529  60.4311448915096818  0  
91  183  2  1  0.0021728804486327  68.4056937167207622  0  
92  185  2  1  0.0020022779153258  78.5638707834930017  0  
93  187  2  1  0.0018330096152060  92.0735714142723936  0  
94  189  2  1  0.0016617858887215  111.0396168859389832  0  
95  191  2  1  0.0014833227736355  139.9749930375567999  0  
96  193  2  1  0.0012900872941637  190.6497244395702637  0  
97  195  2  1  0.0010734719052694  309.4855714204163633  0  
98  197  2  1  0.0008109804841679  591.5109842648861331  0  
99  199  2  1  0.0004149126970208  386.9516295187327728  0  
100  201  2  1  0.0005541324704587  415.7552064512305492  0  
