Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  89  89  1  0.8555296671571101  inf  2  
2  142  53  1  0.8012621726025649  1.1446567378726187  0  
3  190  48  1  0.7620875972950841  1.1876463139319324  0  
4  243  53  1  0.7895346318537987  1.0844149224087063  1  
5  297  54  1  0.8039298944909924  1.1434533162719256  0  
6  356  59  1  0.8171773849759273  1.0984646235250020  1  
7  408  52  1  0.7951216541825593  1.1330280390021068  7  
8  478  70  1  0.8454310512477156  1.0014267628323970  4  
9  543  65  1  0.8344009420004912  1.0537835101362205  3  
10  603  60  1  0.8184027896977232  1.0802462184761559  9  
11  669  66  1  0.8365508738695523  1.0374499388146614  3  
12  728  59  1  0.8101913950558821  1.0964598154758816  8  
13  799  71  1  0.8467818846387265  1.0065537626878100  3  
14  864  65  1  0.8308272767402772  1.0896439002658376  5  
15  932  68  1  0.8426524407975798  1.0601990577818026  17  
16  996  64  1  0.8150687424454356  1.0556302637822610  3  
17  1057  61  1  0.8245580333109177  1.0833446239897999  13  
18  1125  68  1  0.8237695797726385  1.0515848905385621  9  
19  1192  67  1  0.8195155656128507  1.0499952923777705  11  
20  1253  61  1  0.8260574318028244  1.0777223889975596  17  
21  1325  72  1  0.8282663019517021  1.0147388566318944  7  
22  1400  75  1  0.8292981255777572  1.0210773191846818  7  
23  1500  100  0  0.9427444478566459  1.0854627081555488  23  
24  1583  83  1  0.8328336082404809  0.9382306071636074  3  
25  1683  100  0  0.9340090504079089  1.0247023947894771  6  
26  1783  100  0  0.9098615097249760  1.0286829454074649  24  
27  1883  100  0  0.9612527718614176  1.0683367228336569  3  
28  1983  100  0  0.9660943179689780  1.0536106946671777  1  
29  2083  100  0  -nan  -nan  0  
30  2183  100  0  -nan  -nan  0  
31  2283  100  0  -nan  -nan  0  
32  2383  100  0  -nan  -nan  0  
33  2483  100  0  -nan  -nan  0  
34  2583  100  0  -nan  -nan  0  
35  2683  100  0  -nan  -nan  0  
36  2783  100  0  -nan  -nan  0  
37  2883  100  0  -nan  -nan  0  
38  2983  100  0  -nan  -nan  0  
39  3083  100  0  -nan  -nan  0  
