Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  1  0.0002222783296031  inf  0  
2  28  25  1  0.5547393229993970  1.5494739497085579  0  
3  36  8  1  0.2076823310087657  3.3564165643878017  0  
4  38  2  1  0.0050004394213542  45.7407996802024712  0  
5  53  15  1  0.3869644944471079  1.6582086251360542  0  
6  55  2  1  0.0075622157687352  114.1257129096455856  0  
7  60  5  1  0.0998891947037055  5.5191037130925835  0  
8  62  2  1  0.0024134088442822  92.2103796644885705  0  
9  64  2  1  0.0168988699024639  65.0738031625785709  0  
10  69  5  1  0.1601110552542171  4.9834821011528083  0  
11  71  2  1  0.0093985977215463  40.1591963317875340  0  
12  76  5  1  0.2706325892060119  3.7421273935809367  0  
13  78  2  1  0.0294314052785348  41.8204208841481702  0  
14  87  9  1  0.2159541094811418  1.9392263260215543  0  
15  96  9  1  0.2702743210810554  2.2872562088721553  0  
16  113  17  1  0.5211629381752632  1.3659329985462729  0  
17  125  12  1  0.4120946927971609  1.9547241427515967  0  
18  127  2  1  0.0086166044709031  68.0534170758268857  0  
19  132  5  1  0.1149186601936854  5.5798850099598685  0  
20  153  21  1  0.6220640396252383  1.1931416612541974  0  
21  155  2  1  0.0050028803581425  22.0004615385226607  0  
22  170  15  1  0.4846942798572961  1.6217222235529580  0  
23  172  2  1  0.0045234549732877  27.7299567101873166  0  
24  188  16  1  0.5101338066421472  1.3835365240291604  0  
25  214  26  1  0.6676305245680215  1.1118248700357958  0  
26  236  22  1  0.5751042441678634  1.0446442479019122  0  
27  261  25  1  0.6138247211928000  1.0559060351391860  1  
28  275  14  1  0.4443487325265535  1.6918529137239073  0  
29  277  2  1  0.0058243913753431  30.6046515527315073  0  
30  294  17  1  0.4922282244249520  1.3258332607970957  0  
31  323  29  1  0.6633753618080467  1.0785705397807002  0  
32  342  19  1  0.5516343873977485  1.2151384360380002  0  
33  360  18  1  0.5078400500637801  1.1462839697125877  0  
34  389  29  1  0.6694823884908614  1.0888014267635893  1  
35  405  16  1  0.4862951512970156  1.3801174158780651  1  
36  425  20  1  0.5593053972826290  1.1283273427213212  0  
37  441  16  1  0.4796914952444054  1.4155978365163322  0  
38  477  36  1  0.7243603522364177  1.0440711470943618  4  
39  496  19  1  0.5001830621846838  1.2179950794101144  0  
40  521  25  1  0.6452008783536133  1.0550616060603513  0  
41  540  19  1  0.5385410517377405  1.0177119352560959  0  
42  559  19  1  0.5395804495102551  1.0377470342992008  0  
43  578  19  1  0.5362305991118237  1.0693922767728083  0  
44  609  31  1  0.6803802973576082  1.0586154939754342  0  
45  634  25  1  0.6335684224046474  1.0034775713493644  0  
46  662  28  1  0.6704834434583349  0.9846081174967606  0  
47  691  29  1  0.6781479495158436  1.0017201456233162  0  
48  715  24  1  0.6020884958597439  0.9889363008133290  0  
49  741  26  1  0.6280559208941420  0.9605018745856784  0  
50  760  19  1  0.5955635844008883  1.0835582449015637  0  
51  786  26  1  0.6336224009094825  0.9126758622667254  0  
52  809  23  1  0.6062748687281116  1.0343132066262133  0  
53  828  19  1  0.5141987975283376  1.1096620071492402  0  
54  855  27  1  0.6171468815959266  1.0140772459457823  1  
55  880  25  1  0.5754070214889465  0.9525332914019421  1  
56  906  26  1  0.6113154546496533  0.9640503188578994  0  
57  934  28  1  0.6501037199250587  0.9532042866904152  0  
58  960  26  1  0.5967981976957217  0.9296237751106592  0  
59  987  27  1  0.6236180149935935  0.8617620943436118  0  
60  1011  24  1  0.5724255064384592  0.8951067155674317  0  
61  1045  34  1  0.6962131473209002  0.9940296706540964  1  
62  1076  31  1  0.6395621149467651  0.8642392351287167  0  
63  1105  29  1  0.6310534863091175  0.9420827488753341  0  
64  1133  28  1  0.6279655520595752  0.9753283935260508  0  
65  1161  28  1  0.6245083986902034  0.9602375829326034  0  
66  1200  39  1  0.7128984405889531  0.9709721098460815  0  
67  1276  76  1  0.8561595057872075  0.9694954692171700  22  
68  1308  32  1  0.6818529079993888  0.9007246275381429  2  
69  1335  27  1  0.6533393597827911  0.8873322799261391  0  
70  1379  44  1  0.7710944672506961  0.9219265585980412  2  
71  1410  31  1  0.6586200537633615  0.8752630554073907  0  
72  1494  84  1  0.8474225588813493  0.9594858016566040  23  
73  1594  100  0  -nan  -nan  2  
74  1694  100  0  -nan  -nan  0  
75  1794  100  0  -nan  -nan  0  
76  1894  100  0  -nan  -nan  0  
77  1994  100  0  -nan  -nan  0  
78  2094  100  0  -nan  -nan  0  
79  2194  100  0  -nan  -nan  0  
80  2294  100  0  -nan  -nan  0  
81  2394  100  0  -nan  -nan  0  
82  2494  100  0  -nan  -nan  0  
83  2594  100  0  -nan  -nan  0  
84  2694  100  0  -nan  -nan  0  
85  2794  100  0  -nan  -nan  0  
86  2894  100  0  -nan  -nan  0  
87  2994  100  0  -nan  -nan  0  
88  3094  100  0  -nan  -nan  0  
89  3194  100  0  -nan  -nan  0  
90  3294  100  0  -nan  -nan  0  
91  3394  100  0  -nan  -nan  0  
92  3494  100  0  -nan  -nan  0  
93  3594  100  0  -nan  -nan  0  
94  3694  100  0  -nan  -nan  0  
95  3794  100  0  -nan  -nan  0  
96  3894  100  0  -nan  -nan  0  
97  3994  100  0  -nan  -nan  0  
98  4094  100  0  -nan  -nan  0  
99  4194  100  0  -nan  -nan  0  
100  4294  100  0  -nan  -nan  0  
