Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  3  3  1  0.1813384703044186  0.9999992601535909  0  
2  6  3  6  3  1  0.1198850246586550  0.9998476182777212  0  
3  9  3  9  3  1  0.0695438400202536  0.9992370582346058  0  
4  12  3  11  2  1  0.2866866842542337  1.0008213451976953  0  
5  15  3  14  3  1  0.2864358983076543  1.0044685616551592  0  
6  18  3  16  2  1  0.2607016271431004  1.0020359107733312  0  
7  21  3  19  3  1  0.3379232776367278  1.0140532051773343  0  
8  24  3  21  2  1  0.2581808080403017  1.0033508430327716  0  
9  27  3  24  3  1  0.3525417006601811  1.0236241166629121  0  
10  30  3  26  2  1  0.2559909618103439  1.0047561364683701  0  
11  33  3  28  2  1  0.2615661526385130  1.0054361974114896  0  
12  36  3  30  2  1  0.2564000349510489  1.0046246403618844  0  
13  39  3  32  2  1  0.2580729931767525  1.0047769940429978  0  
14  42  3  34  2  1  0.2578875081560773  1.0051761196155515  0  
15  45  3  36  2  1  0.2577460425216563  1.0057817697177800  0  
16  46  1  38  2  1  1.0000000000000000  1.0000000000000000  0  
17  47  1  40  2  1  1.0000000000000000  1.0000000000000000  0  
18  48  1  42  2  1  1.0000000000000000  1.0000000000000000  0  
19  49  1  44  2  1  1.0000000000000000  1.0000000000000000  0  
20  50  1  46  2  1  1.0000000000000000  1.0000000000000000  0  
21  51  1  48  2  1  1.0000000000000000  1.0000000000000000  0  
22  52  1  50  2  1  1.0000000000000000  1.0000000000000000  0  
23  53  1  52  2  1  1.0000000000000000  1.0000000000000000  0  
24  54  1  54  2  1  1.0000000000000000  1.0000000000000000  0  
25  55  1  55  1  1  1.0000000000000000  1.0000000000000000  0  
26  56  1  57  2  1  1.0000000000000000  1.0000000000000000  0  
27  57  1  59  2  1  1.0000000000000000  1.0000000000000000  0  
28  58  1  61  2  1  1.0000000000000000  1.0000000000000000  0  
29  59  1  63  2  1  1.0000000000000000  1.0000000000000000  0  
30  60  1  65  2  1  1.0000000000000000  1.0000000000000000  0  
31  61  1  67  2  1  1.0000000000000000  1.0000000000000000  0  
32  62  1  69  2  1  1.0000000000000000  1.0000000000000000  0  
33  63  1  71  2  1  1.0000000000000000  1.0000000000000000  0  
34  64  1  73  2  1  1.0000000000000000  1.0000000000000000  0  
35  65  1  75  2  1  1.0000000000000000  1.0000000000000000  0  
36  66  1  77  2  1  1.0000000000000000  1.0000000000000000  0  
37  67  1  79  2  1  1.0000000000000000  1.0000000000000000  0  
38  68  1  81  2  1  1.0000000000000000  1.0000000000000000  0  
39  69  1  83  2  1  1.0000000000000000  1.0000000000000000  0  
40  70  1  85  2  1  1.0000000000000000  1.0000000000000000  0  
41  71  1  87  2  1  1.0000000000000000  1.0000000000000000  0  
42  72  1  89  2  1  1.0000000000000000  1.0000000000000000  0  
43  73  1  91  2  1  1.0000000000000000  1.0000000000000000  0  
44  74  1  93  2  1  1.0000000000000000  1.0000000000000000  0  
45  75  1  95  2  1  1.0000000000000000  1.0000000000000000  0  
46  76  1  97  2  1  1.0000000000000000  1.0000000000000000  0  
47  77  1  99  2  1  1.0000000000000000  1.0000000000000000  0  
48  78  1  101  2  1  1.0000000000000000  1.0000000000000000  0  
49  79  1  103  2  1  1.0000000000000000  1.0000000000000000  0  
50  80  1  105  2  1  1.0000000000000000  1.0000000000000000  0  
51  81  1  107  2  1  1.0000000000000000  1.0000000000000000  0  
52  82  1  109  2  1  1.0000000000000000  1.0000000000000000  0  
53  83  1  111  2  1  1.0000000000000000  1.0000000000000000  0  
54  84  1  113  2  1  1.0000000000000000  1.0000000000000000  0  
55  85  1  115  2  1  1.0000000000000000  1.0000000000000000  0  
56  86  1  117  2  1  1.0000000000000000  1.0000000000000000  0  
57  87  1  119  2  1  1.0000000000000000  1.0000000000000000  0  
58  88  1  121  2  1  1.0000000000000000  1.0000000000000000  0  
59  89  1  123  2  1  1.0000000000000000  1.0000000000000000  0  
60  90  1  125  2  1  1.0000000000000000  1.0000000000000000  0  
61  91  1  127  2  1  1.0000000000000000  1.0000000000000000  0  
62  92  1  129  2  1  1.0000000000000000  1.0000000000000000  0  
63  93  1  131  2  1  1.0000000000000000  1.0000000000000000  0  
64  94  1  133  2  1  1.0000000000000000  1.0000000000000000  0  
65  95  1  135  2  1  1.0000000000000000  1.0000000000000000  0  
