Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  17  17  16  16  1  0.6560275675153706  0.4635569993257063  5  
2  24  7  25  9  1  0.3226834582588474  0.5592272142348137  0  
3  33  9  36  11  1  0.5583065124511414  0.8635325438770035  1  
4  38  5  43  7  1  0.3031089922685357  0.4071805950329618  0  
5  47  9  51  8  1  0.5212131728268509  0.6376703319208832  1  
6  52  5  59  8  1  0.5769972268090932  0.8299850964885601  0  
7  57  5  65  6  1  0.5209396535880254  0.7867972439744941  0  
8  62  5  70  5  1  0.5640357827941459  0.4123564178244130  0  
9  67  5  76  6  1  0.5841262059007538  0.7060418064351175  0  
10  72  5  81  5  1  0.5223322793424541  0.6871538575922633  0  
11  77  5  87  6  1  0.5087461981682599  0.7620817544988331  0  
12  84  7  93  6  1  0.4987926723416356  0.5804584392032601  0  
13  87  3  98  5  1  0.3889085017227910  0.9972671511446836  0  
14  90  3  103  5  1  0.4682062569062132  0.5459068287411873  0  
15  97  7  108  5  1  0.4226846230251589  0.5123923950012603  0  
16  102  5  114  6  1  0.5411489482681429  0.7928341384806811  0  
17  107  5  119  5  1  0.6319342729937959  0.7874971711850504  0  
18  112  5  125  6  1  0.4971566822157536  0.8720115221165157  0  
19  117  5  130  5  1  0.4503221797342413  0.6964404580340223  0  
20  122  5  135  5  1  0.5216211563897137  0.5911476617454111  0  
21  125  3  140  5  1  0.4537580460740182  1.0164141064160936  0  
22  128  3  142  2  1  0.4086806724471364  0.5349219998086616  0  
23  133  5  148  6  1  0.4828981205190818  1.0185948798977287  0  
24  136  3  153  5  1  0.1618642369793028  1.0476982370863270  0  
25  139  3  157  4  1  0.5131717803246545  1.1983270205699881  0  
26  142  3  159  2  1  0.5008935420722724  0.7882997039164119  0  
27  145  3  163  4  1  0.4133884907788533  1.2857511652061719  0  
28  148  3  166  3  1  0.3153034663656611  0.3981575264830154  0  
29  151  3  169  3  1  0.3260809939506415  0.7168187826456272  0  
30  154  3  172  3  1  0.3458183306725888  0.7495966081989743  0  
31  157  3  175  3  1  0.3519954250123984  0.6788147951101947  0  
32  160  3  178  3  1  0.3658542606713520  0.6910755220118080  0  
33  163  3  181  3  1  0.4028565979214928  0.6963163366715154  0  
34  166  3  184  3  1  0.5919032924334484  0.8917214928071517  0  
35  169  3  187  3  1  0.6210646281943693  1.2739633477423096  0  
36  172  3  189  2  1  0.4297987683896076  1.0577469905076871  0  
37  177  5  194  5  1  0.5257379426598654  0.7033559400046278  0  
38  180  3  196  2  1  0.2321187541936053  1.0002667822601894  0  
39  183  3  201  5  1  0.3830660548144912  1.1854892159757928  0  
40  186  3  204  3  1  0.7612937226096219  1.6289658072814022  0  
41  189  3  206  2  1  0.3903938186074282  1.0156715244551704  0  
42  192  3  209  3  1  0.4163623104670756  0.9724190955769491  0  
43  195  3  213  4  1  0.5496146813232125  1.0636987784223053  0  
44  200  5  216  3  1  0.6472846285244246  0.2644082849497160  0  
45  203  3  218  2  1  0.4180537818591351  0.9252371367495978  0  
46  204  1  221  3  1  1.0000000000000000  1.0000000000000000  0  
47  207  3  225  4  1  0.8021285035462269  0.4375883950389713  0  
48  208  1  227  2  1  1.0000000000000000  1.0000000000000000  0  
49  209  1  230  3  1  1.0000000000000000  1.0000000000000000  0  
50  210  1  232  2  1  1.0000000000000000  1.0000000000000000  0  
51  211  1  234  2  1  1.0000000000000000  1.0000000000000000  0  
52  212  1  236  2  1  1.0000000000000000  1.0000000000000000  0  
53  213  1  238  2  1  1.0000000000000000  1.0000000000000000  0  
54  214  1  240  2  1  1.0000000000000000  1.0000000000000000  0  
55  215  1  242  2  1  1.0000000000000000  1.0000000000000000  0  
56  216  1  244  2  1  1.0000000000000000  1.0000000000000000  0  
57  217  1  246  2  1  1.0000000000000000  1.0000000000000000  0  
58  220  3  248  2  1  0.3445661882097354  0.9981494934468064  0  
59  221  1  252  4  1  1.0000000000000000  1.0000000000000000  0  
60  224  3  256  4  1  0.6300399309244646  0.7003258525303809  0  
61  227  3  261  5  1  0.3550458055446781  0.9652335391727621  0  
62  230  3  263  2  1  0.5599697065337513  1.1042069444543312  0  
63  233  3  266  3  1  0.2172171356916772  1.0242365223375911  0  
64  236  3  270  4  1  0.6305356223640221  1.1330968403583843  0  
65  241  5  276  6  1  0.6634374495081903  0.5431681792835278  0  
66  244  3  281  5  1  0.4460674857230272  0.8202579717403347  0  
67  247  3  286  5  1  0.6241219605011736  0.6068216817273936  0  
68  250  3  291  5  1  0.6110198923623390  0.7557538068324158  0  
69  253  3  296  5  1  0.1909897922269921  0.9254584288099609  0  
70  256  3  298  2  1  0.2516361125771538  0.4646717584610255  0  
71  261  5  303  5  1  0.4600534255684409  0.2638222758633149  0  
72  266  5  309  6  1  0.4808348213703419  1.0191001096153003  0  
73  271  5  314  5  1  0.4565824267525779  0.8378949877688846  0  
74  274  3  318  4  1  0.3187665850559314  0.5523161393339091  0  
75  277  3  322  4  1  0.2083993280434888  0.9561754712962348  0  
76  282  5  328  6  1  0.4655607349579113  0.9389956367055734  0  
77  287  5  332  4  1  0.6192650067567065  0.9782773751795778  0  
78  290  3  336  4  1  0.3214539417043110  0.9453697850012888  0  
79  293  3  339  3  1  0.3694017656371701  0.7601960279653571  0  
80  296  3  343  4  1  0.1889527620462104  0.8085650823535259  0  
81  299  3  347  4  1  0.3851415137578612  1.1591108921845634  0  
82  302  3  351  4  1  0.1436412556377887  0.8447567685287549  0  
83  305  3  355  4  1  0.3014157736391294  1.0454865629776626  0  
84  308  3  359  4  1  0.4053237499552231  1.2223329191574777  0  
85  311  3  363  4  1  0.3477700808811350  1.1367595548736098  0  
86  320  9  370  7  1  0.7098385046880088  0.8218712046064786  1  
87  329  9  376  6  1  0.4783275525259216  0.5638676913882195  1  
88  334  5  382  6  1  0.4628936487033690  0.5930155578596303  0  
89  341  7  388  6  1  0.5769794995434361  0.5321814703551604  0  
90  350  9  396  8  1  0.6144415929025679  0.7203812096939719  1  
91  359  9  402  6  1  0.5855756872350605  0.7036354336393328  1  
92  364  5  410  8  1  0.4406377296341695  0.5665895274409701  0  
93  371  7  418  8  1  0.4709374099314866  0.5833722924305654  0  
94  376  5  423  5  1  0.3978006487170013  0.3478593743250467  0  
95  383  7  431  8  1  0.3501081142768235  0.3058213710022492  0  
96  390  7  440  9  1  0.4426179308374327  0.5952002423483430  0  
97  401  11  449  9  1  0.3863146896842632  0.3052820894805772  2  
98  416  15  463  14  1  0.5665084376720557  0.6676421996678884  4  
99  423  7  474  11  1  0.4222262418884876  0.5697540433356281  0  
100  430  7  486  12  1  0.4257686075204748  0.7813506497042231  0  
