Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  13  13  80  80  1  0.4840433594593226  0.5960099123640408  0  
2  26  13  161  81  1  0.5162329238898122  0.4925121740688873  0  
3  39  13  240  79  1  0.5180079791650021  0.4818021027208926  0  
4  52  13  310  70  1  0.4937378421022650  0.4895757260712018  0  
5  65  13  383  73  1  0.4553651348645665  0.5020140484386870  0  
6  78  13  455  72  1  0.4974479249139375  0.5054188488633362  0  
7  91  13  527  72  1  0.5074378785032572  0.5067948835602915  0  
8  104  13  597  70  1  0.5111172772144895  0.5046120099100049  0  
9  117  13  665  68  1  0.5028646648735712  0.5043431221949587  0  
10  130  13  730  65  1  0.5041646213720973  0.5102038727099434  0  
11  143  13  800  70  1  0.4978360584796166  0.5072469348661555  0  
12  156  13  868  68  1  0.5030543734698576  0.5061781956885553  0  
13  169  13  935  67  1  0.5076007559713110  0.5083682207397309  0  
14  182  13  1002  67  1  0.4984030184302490  0.5126993992612600  0  
15  195  13  1068  66  1  0.4660236548011039  0.5203911676989487  0  
16  208  13  1135  67  1  0.4767177491663938  0.5109810803012906  0  
17  221  13  1200  65  1  0.4850250326439276  0.5095624831041248  0  
18  234  13  1266  66  1  0.4449149232788837  0.5202046564466952  0  
19  247  13  1337  71  1  0.4282668540886008  0.5205584734756277  0  
20  260  13  1402  65  1  0.5114881722897593  0.5255430356325158  0  
21  273  13  1469  67  1  0.4835176808084616  0.5123588836392422  0  
22  286  13  1538  69  1  0.4615149544934120  0.5160266116104399  0  
23  299  13  1608  70  1  0.4679750732493262  0.5117238031296648  0  
24  312  13  1675  67  1  0.4819039079894895  0.5099810033714339  0  
25  325  13  1743  68  1  0.4622071203479913  0.5096392785702256  0  
26  338  13  1810  67  1  0.4781060011376789  0.5149093838305171  0  
27  351  13  1877  67  1  0.4500010391101301  0.5113255026747466  0  
28  364  13  1945  68  1  0.4577892549663114  0.5112460802059997  0  
29  377  13  2012  67  1  0.4555220012011419  0.4985022460349715  0  
30  390  13  2077  65  1  0.4300326983135894  0.4991265726462845  0  
31  403  13  2145  68  1  0.4345085895923483  0.5046896039419319  0  
32  416  13  2213  68  1  0.4550059801930469  0.5025936751950854  0  
33  429  13  2278  65  1  0.4587511236938104  0.5052776108431108  0  
34  442  13  2342  64  1  0.5023371004458502  0.5215025641951156  0  
35  455  13  2405  63  1  0.5240928514370476  0.5343246961263037  0  
36  468  13  2470  65  1  0.4309339194542217  0.4774952643892254  0  
37  481  13  2537  67  1  0.4387597714312758  0.4816720103164282  0  
38  494  13  2603  66  1  0.4644431084575804  0.4665107689383509  0  
39  507  13  2665  62  1  0.4846547924435891  0.4852171739759294  0  
40  520  13  2739  74  1  0.4693104672560414  0.5059572889212501  0  
41  533  13  2807  68  1  0.4622593115162406  0.5186378600076194  0  
42  548  15  2879  72  1  0.5260697299888325  0.5446756054839901  0  
43  563  15  2948  69  1  0.5301179406111536  0.5596610203586507  0  
44  578  15  3020  72  1  0.5333246691192367  0.5396025234563572  0  
45  593  15  3089  69  1  0.5510017990757149  0.5665852772561633  0  
46  610  17  3162  73  1  0.5557528551712790  0.5548122480859329  0  
47  623  13  3231  69  1  0.4874515761259255  0.5425180873387609  0  
48  636  13  3301  70  1  0.4995310346825015  0.5434468163666776  0  
49  649  13  3373  72  1  0.4793735632972154  0.5435841973656951  0  
50  662  13  3445  72  1  0.5332374735897368  0.5510961658448050  0  
51  675  13  3516  71  1  0.4937702859196123  0.5514166773211675  0  
52  688  13  3588  72  1  0.4699223655301234  0.5516913585526996  0  
53  701  13  3663  75  1  0.4543717756361479  0.5273668009224354  0  
54  714  13  3732  69  1  0.4873283512634155  0.5133569769645894  0  
55  727  13  3800  68  1  0.4076789822861140  0.4904550690180106  0  
56  740  13  3866  66  1  0.4512752067203563  0.5027214521637893  0  
57  753  13  3935  69  1  0.4777816836527270  0.5094160247040784  0  
58  766  13  4006  71  1  0.5071307451835312  0.5096136101936728  0  
59  781  15  4074  68  1  0.4625882419745895  0.5529385958726473  0  
60  794  13  4145  71  1  0.5034022555409411  0.4973962598210514  0  
61  807  13  4213  68  1  0.4935665763636058  0.4959515549747213  0  
62  822  15  4286  73  1  0.5154796799287114  0.5000209536386353  0  
63  835  13  4352  66  1  0.4860332255573632  0.5026469699412419  0  
64  848  13  4421  69  1  0.4999060425134967  0.5037752463573469  0  
65  861  13  4485  64  1  0.4816331583070769  0.5086526779842855  0  
66  874  13  4551  66  1  0.5097127420244355  0.5184009319938843  0  
67  887  13  4617  66  1  0.4900603350277806  0.5079726223128546  0  
68  900  13  4683  66  1  0.4996869661633873  0.5137535420606429  0  
69  913  13  4751  68  1  0.4807005736059814  0.5103473194372958  0  
70  926  13  4815  64  1  0.4664397652547856  0.5116919699519560  0  
71  939  13  4880  65  1  0.4882293647849719  0.5091322084014724  0  
72  952  13  4948  68  1  0.4761333988165339  0.5152751673698419  0  
73  965  13  5016  68  1  0.4817136368231027  0.5164318582489208  0  
74  978  13  5086  70  1  0.4659203553666312  0.5112806470330711  0  
75  991  13  5153  67  1  0.4188378587312095  0.5130928181703204  0  
76  1004  13  5220  67  1  0.4736445031201142  0.5138676467344294  0  
77  1017  13  5287  67  1  0.4803155568446481  0.5042944063229120  0  
78  1030  13  5354  67  1  0.4667212299570527  0.5146522412315043  0  
79  1043  13  5423  69  1  0.4695507940683120  0.5094388520383056  0  
80  1056  13  5491  68  1  0.4549086472625790  0.4996428712863086  0  
81  1069  13  5555  64  1  0.4606888490243775  0.5035867147857805  0  
82  1082  13  5621  66  1  0.4269336476847748  0.5014560084281179  0  
83  1095  13  5688  67  1  0.4580758816997902  0.4971489747734593  0  
