Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  9  9  13  13  1  0.5025811077279549  0.4614876129830695  1  
2  16  7  22  9  1  0.5823690271557997  0.4032191892750561  0  
3  23  7  31  9  1  0.5061858619188729  0.4032426818986231  0  
4  28  5  37  6  1  0.4458037623910615  0.5434388912446985  0  
5  31  3  43  6  1  0.2976971037512635  0.5655752981273696  0  
6  34  3  48  5  1  0.3973479353105207  0.6377724713799194  0  
7  37  3  53  5  1  0.3659850361847180  0.5483291806162248  0  
8  40  3  58  5  1  0.3673362820117793  0.6118826538432549  0  
9  43  3  63  5  1  0.3820014996844677  0.5976906374526825  0  
10  46  3  68  5  1  0.3752958083454542  0.6864536091796832  0  
11  49  3  73  5  1  0.3654001201942900  0.6652719586620308  0  
12  52  3  78  5  1  0.3472039324935082  0.7155296854572948  0  
13  55  3  83  5  1  0.3461237605779039  0.6929473845441680  0  
14  58  3  88  5  1  0.3407073728221455  0.7532207650696343  0  
15  61  3  93  5  1  0.3444336796035071  0.7630837798545138  0  
16  64  3  98  5  1  0.3356362377771978  0.8216897121288382  0  
17  67  3  103  5  1  0.3376766468473463  0.8575224102464295  0  
18  70  3  108  5  1  0.3286975615285408  0.8943680826654772  0  
19  73  3  113  5  1  0.3683010315722003  1.5648045987288461  0  
20  76  3  117  4  1  0.4171776232977745  0.5724359553031042  0  
21  79  3  121  4  1  0.2951878475279334  1.2323324283395740  0  
22  82  3  126  5  1  0.3002569702722191  1.0607181098126996  0  
23  85  3  131  5  1  0.3123780499399647  1.0357509630099357  0  
24  88  3  136  5  1  0.3304062481499339  1.1639156949156872  0  
25  91  3  138  2  1  0.1398256049853071  0.6939298390021809  0  
26  94  3  142  4  1  0.3575322847825211  1.0165188240420542  0  
27  97  3  145  3  1  0.2051781015662789  0.7389131112130060  0  
28  100  3  148  3  1  0.3207015640710311  1.6220684873330433  0  
29  105  5  152  4  1  0.3183744821114102  0.0993020007666928  0  
30  108  3  157  5  1  0.2986757673197190  0.7008910420106328  0  
31  111  3  159  2  1  0.2241447348006832  1.1121321356686473  0  
32  114  3  163  4  1  0.2484570307822713  1.5700585586310274  0  
33  117  3  166  3  1  0.4075982540348448  0.6081077033951331  0  
34  120  3  168  2  1  0.2884745860512933  0.3578525029545638  0  
35  123  3  171  3  1  0.1677059375206933  0.9453265156330923  0  
36  126  3  175  4  1  0.1902669055911166  1.1785959897532343  0  
37  129  3  179  4  1  0.2031499942169520  1.2888825150675831  0  
38  132  3  182  3  1  0.1856747433144190  0.8609629171578004  0  
39  135  3  185  3  1  0.1546571667927071  0.9272116282943252  0  
40  138  3  188  3  1  0.1544828936605545  0.8197486313234790  0  
41  141  3  191  3  1  0.2418818633904188  1.1593527337613583  0  
42  144  3  196  5  1  0.2559725804701857  0.9051347343379987  0  
43  147  3  198  2  1  0.2279107682074912  1.0092127343626933  0  
44  150  3  202  4  1  0.1945987052785373  1.1263834828632422  0  
45  153  3  204  2  1  0.3161743174598919  0.9668760715329942  0  
46  156  3  207  3  1  0.1486020804869138  0.9761237683115939  0  
47  157  1  210  3  1  1.0000000000000000  1.0000000000000000  0  
48  158  1  212  2  1  1.0000000000000000  1.0000000000000000  0  
49  159  1  214  2  1  1.0000000000000000  1.0000000000000000  0  
50  160  1  216  2  1  1.0000000000000000  1.0000000000000000  0  
51  161  1  218  2  1  1.0000000000000000  1.0000000000000000  0  
52  162  1  220  2  1  1.0000000000000000  1.0000000000000000  0  
53  163  1  222  2  1  1.0000000000000000  1.0000000000000000  0  
54  164  1  224  2  1  1.0000000000000000  1.0000000000000000  0  
55  165  1  226  2  1  1.0000000000000000  1.0000000000000000  0  
56  166  1  228  2  1  1.0000000000000000  1.0000000000000000  0  
57  167  1  230  2  1  1.0000000000000000  1.0000000000000000  0  
58  170  3  232  2  1  0.3154656591863585  0.9983549476414056  0  
59  173  3  236  4  1  0.3177898672989752  0.7135492395624383  0  
60  176  3  238  2  1  0.3013306515270777  1.0127942164526802  0  
61  179  3  242  4  1  0.3404055072183458  0.4527584914833576  0  
62  182  3  246  4  1  0.6704642760666346  1.5551420196037220  0  
63  185  3  248  2  1  0.1896280886863906  1.0023829765849366  0  
64  188  3  252  4  1  0.4778141404736520  1.0571417173575777  0  
65  191  3  254  2  1  0.2950067467996317  1.0208752179883802  0  
66  196  5  258  4  1  0.5730341776929432  0.2501818844520563  0  
67  199  3  260  2  1  0.2352213574714866  0.7813327815628591  0  
68  202  3  263  3  1  0.4459680956883204  0.9275566054947085  0  
69  205  3  268  5  1  0.2431002761378669  0.8926873452748211  0  
70  208  3  270  2  1  0.4114197305039805  0.5926013209331541  0  
71  211  3  273  3  1  0.2888293921882626  0.6818871229143811  0  
72  214  3  277  4  1  0.4309662753844604  1.7214929010698949  0  
73  219  5  281  4  1  0.4200288259539308  0.1863168013110925  0  
74  222  3  285  4  1  0.2754136440515898  1.5349253445962587  0  
75  225  3  288  3  1  0.4381206290371802  1.2244116387804673  0  
76  228  3  290  2  1  0.1971948526033564  1.0248635350342323  0  
77  231  3  294  4  1  0.4852835249325397  0.9343585861744043  0  
78  234  3  298  4  1  0.3069634871328828  1.1674416137543711  0  
79  237  3  302  4  1  0.1747363233810963  0.9742561469084801  0  
80  240  3  306  4  1  0.2800789521026389  1.2913892466720207  0  
81  243  3  310  4  1  0.2614015730890189  0.9513062671387068  0  
82  246  3  314  4  1  0.1874769544174177  0.7069068032657381  0  
83  249  3  318  4  1  0.2193177490734030  1.0350121991310635  0  
